dungeon_type,关卡ID,层数,章节ID,结构ID,数数通过场景数,对应房间段,房间池ID,候选房间Prefab ID,权重,完成规则,开启关卡指引,房间类型,特殊内容,source,verification_status
1,10114,14,1,10114,2,第2房,101306,1012201~1012202~1012203~1012204~1012205,100~100~100~100~100,1,1,战斗房,,小秘境10101-10530_数数通过场景数映射表.xlsx|映射表|row=49,USER_APPROVED
1,10114,14,1,10114,3,第3房,101505,1012501,100,3,0,Boss房,,小秘境10101-10530_数数通过场景数映射表.xlsx|映射表|row=50,USER_APPROVED
1,10115,15,1,10115,1,第1房,101306,1012201~1012202~1012203~1012204~1012205,100~100~100~100~100,1,1,战斗房,,小秘境10101-10530_数数通过场景数映射表.xlsx|映射表|row=51,USER_APPROVED
1,10115,15,1,10115,2,第2房,101306,1012201~1012202~1012203~1012204~1012205,100~100~100~100~100,1,1,战斗房,,小秘境10101-10530_数数通过场景数映射表.xlsx|映射表|row=52,USER_APPROVED
1,10115,15,1,10115,3,第3房,101505,1012501,100,3,0,Boss房,,小秘境10101-10530_数数通过场景数映射表.xlsx|映射表|row=53,USER_APPROVED
1,10201,16,2,10201,1,第1房,102301,1020200~1020201~1020202~1020203~1020204~1020205,100~100~100~100~100~100,1,1,战斗房,,小秘境10101-10530_数数通过场景数映射表.xlsx|映射表|row=54,USER_APPROVED
1,10201,16,2,10201,2,第2房,102401,1020300~1020301~1020302~1020303,100~100~100~100,1,1,战斗房,,小秘境10101-10530_数数通过场景数映射表.xlsx|映射表|row=55,USER_APPROVED
1,10201,16,2,10201,3,第3房,102501,1020501~1020502,100~100,3,0,Boss房,,小秘境10101-10530_数数通过场景数映射表.xlsx|映射表|row=56,USER_APPROVED
1,10202,17,2,10202,1,第1房,102401,1020300~1020301~1020302~1020303,100~100~100~100,1,1,战斗房,,小秘境10101-10530_数数通过场景数映射表.xlsx|映射表|row=57,USER_APPROVED
1,10202,17,2,10202,2,第2房,102301,1020200~1020201~1020202~1020203~1020204~1020205,100~100~100~100~100~100,1,1,战斗房,,小秘境10101-10530_数数通过场景数映射表.xlsx|映射表|row=58,USER_APPROVED
1,10202,17,2,10202,3,第3房,102501,1020501~1020502,100~100,3,0,Boss房,,小秘境10101-10530_数数通过场景数映射表.xlsx|映射表|row=59,USER_APPROVED
1,10203,18,2,10203,1,第1房,102303,1020206,100,1,1,战斗房,,小秘境10101-10530_数数通过场景数映射表.xlsx|映射表|row=60,USER_APPROVED
1,10203,18,2,10203,2,第2房,102601,1020401,100,0,0,特殊用途房-技能试用,对群技能试用,小秘境10101-10530_数数通过场景数映射表.xlsx|映射表|row=61,USER_APPROVED
1,10203,18,2,10203,3,第3房,102401,1020300~1020301~1020302~1020303,100~100~100~100,1,1,战斗房,,小秘境10101-10530_数数通过场景数映射表.xlsx|映射表|row=62,USER_APPROVED
1,10203,18,2,10203,4,第4房,102501,1020501~1020502,100~100,3,0,Boss房,,小秘境10101-10530_数数通过场景数映射表.xlsx|映射表|row=63,USER_APPROVED
1,10204,19,2,10204,1,第1房,102401,1020300~1020301~1020302~1020303,100~100~100~100,1,1,战斗房,,小秘境10101-10530_数数通过场景数映射表.xlsx|映射表|row=64,USER_APPROVED
1,10204,19,2,10204,2,第2房,102301,1020200~1020201~1020202~1020203~1020204~1020205,100~100~100~100~100~100,1,1,战斗房,,小秘境10101-10530_数数通过场景数映射表.xlsx|映射表|row=65,USER_APPROVED
1,10204,19,2,10204,3,第3房,102501,1020501~1020502,100~100,3,0,Boss房,,小秘境10101-10530_数数通过场景数映射表.xlsx|映射表|row=66,USER_APPROVED
1,10205,20,2,10205,1,第1房,102301,1020200~1020201~1020202~1020203~1020204~1020205,100~100~100~100~100~100,1,1,战斗房,,小秘境10101-10530_数数通过场景数映射表.xlsx|映射表|row=67,USER_APPROVED
1,10205,20,2,10205,2,第2房,102401,1020300~1020301~1020302~1020303,100~100~100~100,1,1,战斗房,,小秘境10101-10530_数数通过场景数映射表.xlsx|映射表|row=68,USER_APPROVED
1,10205,20,2,10205,3,第3房,102501,1020501~1020502,100~100,3,0,Boss房,,小秘境10101-10530_数数通过场景数映射表.xlsx|映射表|row=69,USER_APPROVED
1,10206,21,2,10206,1,第1房,102401,1020300~1020301~1020302~1020303,100~100~100~100,1,1,战斗房,,小秘境10101-10530_数数通过场景数映射表.xlsx|映射表|row=70,USER_APPROVED
1,10206,21,2,10206,2,第2房,102301,1020200~1020201~1020202~1020203~1020204~1020205,100~100~100~100~100~100,1,1,战斗房,,小秘境10101-10530_数数通过场景数映射表.xlsx|映射表|row=71,USER_APPROVED
1,10206,21,2,10206,3,第3房,102501,1020501~1020502,100~100,3,0,Boss房,,小秘境10101-10530_数数通过场景数映射表.xlsx|映射表|row=72,USER_APPROVED
1,10207,22,2,10207,1,第1房,102301,1020200~1020201~1020202~1020203~1020204~1020205,100~100~100~100~100~100,1,1,战斗房,,小秘境10101-10530_数数通过场景数映射表.xlsx|映射表|row=73,USER_APPROVED
1,10207,22,2,10207,2,第2房,102401,1020300~1020301~1020302~1020303,100~100~100~100,1,1,战斗房,,小秘境10101-10530_数数通过场景数映射表.xlsx|映射表|row=74,USER_APPROVED
1,10207,22,2,10207,3,第3房,102501,1020501~1020502,100~100,3,0,Boss房,,小秘境10101-10530_数数通过场景数映射表.xlsx|映射表|row=75,USER_APPROVED
1,10208,23,2,10208,1,第1房,102401,1020300~1020301~1020302~1020303,100~100~100~100,1,1,战斗房,,小秘境10101-10530_数数通过场景数映射表.xlsx|映射表|row=76,USER_APPROVED
1,10208,23,2,10208,2,第2房,102301,1020200~1020201~1020202~1020203~1020204~1020205,100~100~100~100~100~100,1,1,战斗房,,小秘境10101-10530_数数通过场景数映射表.xlsx|映射表|row=77,USER_APPROVED
1,10208,23,2,10208,3,第3房,102501,1020501~1020502,100~100,3,0,Boss房,,小秘境10101-10530_数数通过场景数映射表.xlsx|映射表|row=78,USER_APPROVED
1,10209,24,2,10209,1,第1房,102304,1020207,100,1,1,战斗房,,小秘境10101-10530_数数通过场景数映射表.xlsx|映射表|row=79,USER_APPROVED
1,10209,24,2,10209,2,第2房,102401,1020300~1020301~1020302~1020303,100~100~100~100,1,1,战斗房,,小秘境10101-10530_数数通过场景数映射表.xlsx|映射表|row=80,USER_APPROVED
1,10209,24,2,10209,3,第3房,102501,1020501~1020502,100~100,3,0,Boss房,,小秘境10101-10530_数数通过场景数映射表.xlsx|映射表|row=81,USER_APPROVED
1,10210,25,2,10210,1,第1房,102401,1020300~1020301~1020302~1020303,100~100~100~100,1,1,战斗房,,小秘境10101-10530_数数通过场景数映射表.xlsx|映射表|row=82,USER_APPROVED
1,10210,25,2,10210,2,第2房,102301,1020200~1020201~1020202~1020203~1020204~1020205,100~100~100~100~100~100,1,1,战斗房,,小秘境10101-10530_数数通过场景数映射表.xlsx|映射表|row=83,USER_APPROVED
1,10210,25,2,10210,3,第3房,102501,1020501~1020502,100~100,3,0,Boss房,,小秘境10101-10530_数数通过场景数映射表.xlsx|映射表|row=84,USER_APPROVED
1,10211,26,2,10211,1,第1房,102301,1020200~1020201~1020202~1020203~1020204~1020205,100~100~100~100~100~100,1,1,战斗房,,小秘境10101-10530_数数通过场景数映射表.xlsx|映射表|row=85,USER_APPROVED
1,10211,26,2,10211,2,第2房,102401,1020300~1020301~1020302~1020303,100~100~100~100,1,1,战斗房,,小秘境10101-10530_数数通过场景数映射表.xlsx|映射表|row=86,USER_APPROVED
1,10211,26,2,10211,3,第3房,102501,1020501~1020502,100~100,3,0,Boss房,,小秘境10101-10530_数数通过场景数映射表.xlsx|映射表|row=87,USER_APPROVED
1,10212,27,2,10212,1,第1房,102401,1020300~1020301~1020302~1020303,100~100~100~100,1,1,战斗房,,小秘境10101-10530_数数通过场景数映射表.xlsx|映射表|row=88,USER_APPROVED
1,10212,27,2,10212,2,第2房,102301,1020200~1020201~1020202~1020203~1020204~1020205,100~100~100~100~100~100,1,1,战斗房,,小秘境10101-10530_数数通过场景数映射表.xlsx|映射表|row=89,USER_APPROVED
1,10212,27,2,10212,3,第3房,102501,1020501~1020502,100~100,3,0,Boss房,,小秘境10101-10530_数数通过场景数映射表.xlsx|映射表|row=90,USER_APPROVED
1,10213,28,2,10213,1,第1房,102301,1020200~1020201~1020202~1020203~1020204~1020205,100~100~100~100~100~100,1,1,战斗房,,小秘境10101-10530_数数通过场景数映射表.xlsx|映射表|row=91,USER_APPROVED
1,10213,28,2,10213,2,第2房,102401,1020300~1020301~1020302~1020303,100~100~100~100,1,1,战斗房,,小秘境10101-10530_数数通过场景数映射表.xlsx|映射表|row=92,USER_APPROVED
1,10213,28,2,10213,3,第3房,102501,1020501~1020502,100~100,3,0,Boss房,,小秘境10101-10530_数数通过场景数映射表.xlsx|映射表|row=93,USER_APPROVED
1,10214,29,2,10214,1,第1房,102401,1020300~1020301~1020302~1020303,100~100~100~100,1,1,战斗房,,小秘境10101-10530_数数通过场景数映射表.xlsx|映射表|row=94,USER_APPROVED
1,10214,29,2,10214,2,第2房,102301,1020200~1020201~1020202~1020203~1020204~1020205,100~100~100~100~100~100,1,1,战斗房,,小秘境10101-10530_数数通过场景数映射表.xlsx|映射表|row=95,USER_APPROVED
1,10214,29,2,10214,3,第3房,102501,1020501~1020502,100~100,3,0,Boss房,,小秘境10101-10530_数数通过场景数映射表.xlsx|映射表|row=96,USER_APPROVED
1,10215,30,2,10215,1,第1房,102301,1020200~1020201~1020202~1020203~1020204~1020205,100~100~100~100~100~100,1,1,战斗房,,小秘境10101-10530_数数通过场景数映射表.xlsx|映射表|row=97,USER_APPROVED
1,10215,30,2,10215,2,第2房,102401,1020300~1020301~1020302~1020303,100~100~100~100,1,1,战斗房,,小秘境10101-10530_数数通过场景数映射表.xlsx|映射表|row=98,USER_APPROVED
1,10215,30,2,10215,3,第3房,102501,1020501~1020502,100~100,3,0,Boss房,,小秘境10101-10530_数数通过场景数映射表.xlsx|映射表|row=99,USER_APPROVED
1,10216,31,2,10216,1,第1房,102402,1021300~1021301~1021302~1021303,100~100~100~100,1,1,战斗房,,小秘境10101-10530_数数通过场景数映射表.xlsx|映射表|row=100,USER_APPROVED
1,10216,31,2,10216,2,第2房,102302,1021201~1021202~1021203~1021204,100~100~100~100,1,1,战斗房,,小秘境10101-10530_数数通过场景数映射表.xlsx|映射表|row=101,USER_APPROVED
1,10216,31,2,10216,3,第3房,102502,1021500,100,3,0,Boss房,,小秘境10101-10530_数数通过场景数映射表.xlsx|映射表|row=102,USER_APPROVED
1,10217,32,2,10217,1,第1房,102302,1021201~1021202~1021203~1021204,100~100~100~100,1,1,战斗房,,小秘境10101-10530_数数通过场景数映射表.xlsx|映射表|row=103,USER_APPROVED
1,10217,32,2,10217,2,第2房,102402,1021300~1021301~1021302~1021303,100~100~100~100,1,1,战斗房,,小秘境10101-10530_数数通过场景数映射表.xlsx|映射表|row=104,USER_APPROVED
1,10217,32,2,10217,3,第3房,102502,1021500,100,3,0,Boss房,,小秘境10101-10530_数数通过场景数映射表.xlsx|映射表|row=105,USER_APPROVED
1,10218,33,2,10218,1,第1房,102402,1021300~1021301~1021302~1021303,100~100~100~100,1,1,战斗房,,小秘境10101-10530_数数通过场景数映射表.xlsx|映射表|row=106,USER_APPROVED
1,10218,33,2,10218,2,第2房,102302,1021201~1021202~1021203~1021204,100~100~100~100,1,1,战斗房,,小秘境10101-10530_数数通过场景数映射表.xlsx|映射表|row=107,USER_APPROVED
1,10218,33,2,10218,3,第3房,102502,1021500,100,3,0,Boss房,,小秘境10101-10530_数数通过场景数映射表.xlsx|映射表|row=108,USER_APPROVED
1,10219,34,2,10219,1,第1房,102302,1021201~1021202~1021203~1021204,100~100~100~100,1,1,战斗房,,小秘境10101-10530_数数通过场景数映射表.xlsx|映射表|row=109,USER_APPROVED
1,10219,34,2,10219,2,第2房,102402,1021300~1021301~1021302~1021303,100~100~100~100,1,1,战斗房,,小秘境10101-10530_数数通过场景数映射表.xlsx|映射表|row=110,USER_APPROVED
1,10219,34,2,10219,3,第3房,102502,1021500,100,3,0,Boss房,,小秘境10101-10530_数数通过场景数映射表.xlsx|映射表|row=111,USER_APPROVED
1,10220,35,2,10220,1,第1房,102402,1021300~1021301~1021302~1021303,100~100~100~100,1,1,战斗房,,小秘境10101-10530_数数通过场景数映射表.xlsx|映射表|row=112,USER_APPROVED
1,10220,35,2,10220,2,第2房,102302,1021201~1021202~1021203~1021204,100~100~100~100,1,1,战斗房,,小秘境10101-10530_数数通过场景数映射表.xlsx|映射表|row=113,USER_APPROVED
1,10220,35,2,10220,3,第3房,102502,1021500,100,3,0,Boss房,,小秘境10101-10530_数数通过场景数映射表.xlsx|映射表|row=114,USER_APPROVED
1,10221,36,2,10221,1,第1房,102302,1021201~1021202~1021203~1021204,100~100~100~100,1,1,战斗房,,小秘境10101-10530_数数通过场景数映射表.xlsx|映射表|row=115,USER_APPROVED
1,10221,36,2,10221,2,第2房,102402,1021300~1021301~1021302~1021303,100~100~100~100,1,1,战斗房,,小秘境10101-10530_数数通过场景数映射表.xlsx|映射表|row=116,USER_APPROVED
1,10221,36,2,10221,3,第3房,102502,1021500,100,3,0,Boss房,,小秘境10101-10530_数数通过场景数映射表.xlsx|映射表|row=117,USER_APPROVED
1,10222,37,2,10222,1,第1房,102402,1021300~1021301~1021302~1021303,100~100~100~100,1,1,战斗房,,小秘境10101-10530_数数通过场景数映射表.xlsx|映射表|row=118,USER_APPROVED
1,10222,37,2,10222,2,第2房,102302,1021201~1021202~1021203~1021204,100~100~100~100,1,1,战斗房,,小秘境10101-10530_数数通过场景数映射表.xlsx|映射表|row=119,USER_APPROVED
1,10222,37,2,10222,3,第3房,102502,1021500,100,3,0,Boss房,,小秘境10101-10530_数数通过场景数映射表.xlsx|映射表|row=120,USER_APPROVED
1,10223,38,2,10223,1,第1房,102302,1021201~1021202~1021203~1021204,100~100~100~100,1,1,战斗房,,小秘境10101-10530_数数通过场景数映射表.xlsx|映射表|row=121,USER_APPROVED
1,10223,38,2,10223,2,第2房,102402,1021300~1021301~1021302~1021303,100~100~100~100,1,1,战斗房,,小秘境10101-10530_数数通过场景数映射表.xlsx|映射表|row=122,USER_APPROVED
1,10223,38,2,10223,3,第3房,102502,1021500,100,3,0,Boss房,,小秘境10101-10530_数数通过场景数映射表.xlsx|映射表|row=123,USER_APPROVED
1,10224,39,2,10224,1,第1房,102402,1021300~1021301~1021302~1021303,100~100~100~100,1,1,战斗房,,小秘境10101-10530_数数通过场景数映射表.xlsx|映射表|row=124,USER_APPROVED
1,10224,39,2,10224,2,第2房,102302,1021201~1021202~1021203~1021204,100~100~100~100,1,1,战斗房,,小秘境10101-10530_数数通过场景数映射表.xlsx|映射表|row=125,USER_APPROVED
1,10224,39,2,10224,3,第3房,102502,1021500,100,3,0,Boss房,,小秘境10101-10530_数数通过场景数映射表.xlsx|映射表|row=126,USER_APPROVED
1,10225,40,2,10225,1,第1房,102302,1021201~1021202~1021203~1021204,100~100~100~100,1,1,战斗房,,小秘境10101-10530_数数通过场景数映射表.xlsx|映射表|row=127,USER_APPROVED
1,10225,40,2,10225,2,第2房,102402,1021300~1021301~1021302~1021303,100~100~100~100,1,1,战斗房,,小秘境10101-10530_数数通过场景数映射表.xlsx|映射表|row=128,USER_APPROVED
1,10225,40,2,10225,3,第3房,102502,1021500,100,3,0,Boss房,,小秘境10101-10530_数数通过场景数映射表.xlsx|映射表|row=129,USER_APPROVED
1,10226,41,2,10226,1,第1房,102402,1021300~1021301~1021302~1021303,100~100~100~100,1,1,战斗房,,小秘境10101-10530_数数通过场景数映射表.xlsx|映射表|row=130,USER_APPROVED
1,10226,41,2,10226,2,第2房,102302,1021201~1021202~1021203~1021204,100~100~100~100,1,1,战斗房,,小秘境10101-10530_数数通过场景数映射表.xlsx|映射表|row=131,USER_APPROVED
1,10226,41,2,10226,3,第3房,102502,1021500,100,3,0,Boss房,,小秘境10101-10530_数数通过场景数映射表.xlsx|映射表|row=132,USER_APPROVED
1,10227,42,2,10227,1,第1房,102302,1021201~1021202~1021203~1021204,100~100~100~100,1,1,战斗房,,小秘境10101-10530_数数通过场景数映射表.xlsx|映射表|row=133,USER_APPROVED
1,10227,42,2,10227,2,第2房,102402,1021300~1021301~1021302~1021303,100~100~100~100,1,1,战斗房,,小秘境10101-10530_数数通过场景数映射表.xlsx|映射表|row=134,USER_APPROVED
1,10227,42,2,10227,3,第3房,102502,1021500,100,3,0,Boss房,,小秘境10101-10530_数数通过场景数映射表.xlsx|映射表|row=135,USER_APPROVED
1,10228,43,2,10228,1,第1房,102402,1021300~1021301~1021302~1021303,100~100~100~100,1,1,战斗房,,小秘境10101-10530_数数通过场景数映射表.xlsx|映射表|row=136,USER_APPROVED
1,10228,43,2,10228,2,第2房,102302,1021201~1021202~1021203~1021204,100~100~100~100,1,1,战斗房,,小秘境10101-10530_数数通过场景数映射表.xlsx|映射表|row=137,USER_APPROVED
1,10228,43,2,10228,3,第3房,102502,1021500,100,3,0,Boss房,,小秘境10101-10530_数数通过场景数映射表.xlsx|映射表|row=138,USER_APPROVED
1,10229,44,2,10229,1,第1房,102302,1021201~1021202~1021203~1021204,100~100~100~100,1,1,战斗房,,小秘境10101-10530_数数通过场景数映射表.xlsx|映射表|row=139,USER_APPROVED
1,10229,44,2,10229,2,第2房,102402,1021300~1021301~1021302~1021303,100~100~100~100,1,1,战斗房,,小秘境10101-10530_数数通过场景数映射表.xlsx|映射表|row=140,USER_APPROVED
1,10229,44,2,10229,3,第3房,102502,1021500,100,3,0,Boss房,,小秘境10101-10530_数数通过场景数映射表.xlsx|映射表|row=141,USER_APPROVED
1,10230,45,2,10230,1,第1房,102402,1021300~1021301~1021302~1021303,100~100~100~100,1,1,战斗房,,小秘境10101-10530_数数通过场景数映射表.xlsx|映射表|row=142,USER_APPROVED
1,10230,45,2,10230,2,第2房,102302,1021201~1021202~1021203~1021204,100~100~100~100,1,1,战斗房,,小秘境10101-10530_数数通过场景数映射表.xlsx|映射表|row=143,USER_APPROVED
1,10230,45,2,10230,3,第3房,102502,1021500,100,3,0,Boss房,,小秘境10101-10530_数数通过场景数映射表.xlsx|映射表|row=144,USER_APPROVED
1,10301,46,3,10301,1,第1房,102301,1020200~1020201~1020202~1020203~1020204~1020205,100~100~100~100~100~100,1,1,战斗房,,小秘境10101-10530_数数通过场景数映射表.xlsx|映射表|row=145,USER_APPROVED
1,10301,46,3,10301,2,第2房,102401,1020300~1020301~1020302~1020303,100~100~100~100,1,1,战斗房,,小秘境10101-10530_数数通过场景数映射表.xlsx|映射表|row=146,USER_APPROVED
1,10301,46,3,10301,3,第3房,102501,1020501~1020502,100~100,3,0,Boss房,,小秘境10101-10530_数数通过场景数映射表.xlsx|映射表|row=147,USER_APPROVED
1,10302,47,3,10302,1,第1房,102301,1020200~1020201~1020202~1020203~1020204~1020205,100~100~100~100~100~100,1,1,战斗房,,小秘境10101-10530_数数通过场景数映射表.xlsx|映射表|row=148,USER_APPROVED
