唯一键,dungeon_type,类型,dungeon_id,显示名,层级/难度,子类型,怪物等级,Prefab/结构ID,补充参数,来源
0:0,0,主城,0,主城,,,,,非副本场景,src/include/dungeon.hrl:108
1:10222,1,主线/小秘境,10222,小秘境 2-22,37,,25,10222,chapter_id=2; monster_strength_level=37,src/conf/conf_dungeon_inners_level.erl:397
1:10223,1,主线/小秘境,10223,小秘境 2-23,38,,26,10223,chapter_id=2; monster_strength_level=38,src/conf/conf_dungeon_inners_level.erl:407
1:10224,1,主线/小秘境,10224,小秘境 2-24,39,,27,10224,chapter_id=2; monster_strength_level=39,src/conf/conf_dungeon_inners_level.erl:417
1:10225,1,主线/小秘境,10225,小秘境 2-25,40,,27,10225,chapter_id=2; monster_strength_level=40,src/conf/conf_dungeon_inners_level.erl:427
1:10226,1,主线/小秘境,10226,小秘境 2-26,41,,28,10226,chapter_id=2; monster_strength_level=41,src/conf/conf_dungeon_inners_level.erl:437
1:10227,1,主线/小秘境,10227,小秘境 2-27,42,,29,10227,chapter_id=2; monster_strength_level=42,src/conf/conf_dungeon_inners_level.erl:447
1:10228,1,主线/小秘境,10228,小秘境 2-28,43,,29,10228,chapter_id=2; monster_strength_level=43,src/conf/conf_dungeon_inners_level.erl:457
1:10229,1,主线/小秘境,10229,小秘境 2-29,44,,30,10229,chapter_id=2; monster_strength_level=44,src/conf/conf_dungeon_inners_level.erl:467
1:10230,1,主线/小秘境,10230,小秘境 2-30,45,,31,10230,chapter_id=2; monster_strength_level=45,src/conf/conf_dungeon_inners_level.erl:477
1:10301,1,主线/小秘境,10301,小秘境 3-1,46,,32,10101,chapter_id=3; monster_strength_level=46,src/conf/conf_dungeon_inners_level.erl:487
1:10302,1,主线/小秘境,10302,小秘境 3-2,47,,32,10101,chapter_id=3; monster_strength_level=47,src/conf/conf_dungeon_inners_level.erl:497
1:10303,1,主线/小秘境,10303,小秘境 3-3,48,,33,10101,chapter_id=3; monster_strength_level=48,src/conf/conf_dungeon_inners_level.erl:507
1:10304,1,主线/小秘境,10304,小秘境 3-4,49,,34,10101,chapter_id=3; monster_strength_level=49,src/conf/conf_dungeon_inners_level.erl:517
1:10305,1,主线/小秘境,10305,小秘境 3-5,50,,35,10101,chapter_id=3; monster_strength_level=50,src/conf/conf_dungeon_inners_level.erl:527
1:10306,1,主线/小秘境,10306,小秘境 3-6,51,,35,10101,chapter_id=3; monster_strength_level=51,src/conf/conf_dungeon_inners_level.erl:537
1:10307,1,主线/小秘境,10307,小秘境 3-7,52,,36,10101,chapter_id=3; monster_strength_level=52,src/conf/conf_dungeon_inners_level.erl:547
1:10308,1,主线/小秘境,10308,小秘境 3-8,53,,37,10101,chapter_id=3; monster_strength_level=53,src/conf/conf_dungeon_inners_level.erl:557
1:10309,1,主线/小秘境,10309,小秘境 3-9,54,,37,10101,chapter_id=3; monster_strength_level=54,src/conf/conf_dungeon_inners_level.erl:567
1:10310,1,主线/小秘境,10310,小秘境 3-10,55,,38,10101,chapter_id=3; monster_strength_level=55,src/conf/conf_dungeon_inners_level.erl:577
1:10311,1,主线/小秘境,10311,小秘境 3-11,56,,39,10101,chapter_id=3; monster_strength_level=56,src/conf/conf_dungeon_inners_level.erl:587
1:10312,1,主线/小秘境,10312,小秘境 3-12,57,,39,10101,chapter_id=3; monster_strength_level=57,src/conf/conf_dungeon_inners_level.erl:597
1:10313,1,主线/小秘境,10313,小秘境 3-13,58,,40,10101,chapter_id=3; monster_strength_level=58,src/conf/conf_dungeon_inners_level.erl:607
1:10314,1,主线/小秘境,10314,小秘境 3-14,59,,41,10101,chapter_id=3; monster_strength_level=59,src/conf/conf_dungeon_inners_level.erl:617
1:10315,1,主线/小秘境,10315,小秘境 3-15,60,,41,10101,chapter_id=3; monster_strength_level=60,src/conf/conf_dungeon_inners_level.erl:627
1:10316,1,主线/小秘境,10316,小秘境 3-16,61,,42,10101,chapter_id=3; monster_strength_level=61,src/conf/conf_dungeon_inners_level.erl:637
1:10317,1,主线/小秘境,10317,小秘境 3-17,62,,42,10101,chapter_id=3; monster_strength_level=62,src/conf/conf_dungeon_inners_level.erl:647
1:10318,1,主线/小秘境,10318,小秘境 3-18,63,,43,10101,chapter_id=3; monster_strength_level=63,src/conf/conf_dungeon_inners_level.erl:657
1:10319,1,主线/小秘境,10319,小秘境 3-19,64,,43,10101,chapter_id=3; monster_strength_level=64,src/conf/conf_dungeon_inners_level.erl:667
1:10320,1,主线/小秘境,10320,小秘境 3-20,65,,44,10101,chapter_id=3; monster_strength_level=65,src/conf/conf_dungeon_inners_level.erl:677
1:10321,1,主线/小秘境,10321,小秘境 3-21,66,,45,10101,chapter_id=3; monster_strength_level=66,src/conf/conf_dungeon_inners_level.erl:687
1:10322,1,主线/小秘境,10322,小秘境 3-22,67,,45,10101,chapter_id=3; monster_strength_level=67,src/conf/conf_dungeon_inners_level.erl:697
1:10323,1,主线/小秘境,10323,小秘境 3-23,68,,46,10101,chapter_id=3; monster_strength_level=68,src/conf/conf_dungeon_inners_level.erl:707
1:10324,1,主线/小秘境,10324,小秘境 3-24,69,,46,10101,chapter_id=3; monster_strength_level=69,src/conf/conf_dungeon_inners_level.erl:717
1:10325,1,主线/小秘境,10325,小秘境 3-25,70,,47,10101,chapter_id=3; monster_strength_level=70,src/conf/conf_dungeon_inners_level.erl:727
1:10326,1,主线/小秘境,10326,小秘境 3-26,71,,47,10101,chapter_id=3; monster_strength_level=71,src/conf/conf_dungeon_inners_level.erl:737
1:10327,1,主线/小秘境,10327,小秘境 3-27,72,,48,10101,chapter_id=3; monster_strength_level=72,src/conf/conf_dungeon_inners_level.erl:747
1:10328,1,主线/小秘境,10328,小秘境 3-28,73,,48,10101,chapter_id=3; monster_strength_level=73,src/conf/conf_dungeon_inners_level.erl:757
1:10329,1,主线/小秘境,10329,小秘境 3-29,74,,49,10101,chapter_id=3; monster_strength_level=74,src/conf/conf_dungeon_inners_level.erl:767
1:10330,1,主线/小秘境,10330,小秘境 3-30,75,,49,10101,chapter_id=3; monster_strength_level=75,src/conf/conf_dungeon_inners_level.erl:777
1:10331,1,主线/小秘境,10331,小秘境 3-31,76,,49,10101,chapter_id=3; monster_strength_level=76,src/conf/conf_dungeon_inners_level.erl:787
1:10332,1,主线/小秘境,10332,小秘境 3-32,77,,50,10101,chapter_id=3; monster_strength_level=77,src/conf/conf_dungeon_inners_level.erl:797
1:10333,1,主线/小秘境,10333,小秘境 3-33,78,,50,10101,chapter_id=3; monster_strength_level=78,src/conf/conf_dungeon_inners_level.erl:807
1:10334,1,主线/小秘境,10334,小秘境 3-34,79,,51,10101,chapter_id=3; monster_strength_level=79,src/conf/conf_dungeon_inners_level.erl:817
1:10335,1,主线/小秘境,10335,小秘境 3-35,80,,51,10101,chapter_id=3; monster_strength_level=80,src/conf/conf_dungeon_inners_level.erl:827
1:10336,1,主线/小秘境,10336,小秘境 3-36,81,,52,10101,chapter_id=3; monster_strength_level=81,src/conf/conf_dungeon_inners_level.erl:837
1:10337,1,主线/小秘境,10337,小秘境 3-37,82,,52,10101,chapter_id=3; monster_strength_level=82,src/conf/conf_dungeon_inners_level.erl:847
1:10338,1,主线/小秘境,10338,小秘境 3-38,83,,53,10101,chapter_id=3; monster_strength_level=83,src/conf/conf_dungeon_inners_level.erl:857
1:10339,1,主线/小秘境,10339,小秘境 3-39,84,,53,10101,chapter_id=3; monster_strength_level=84,src/conf/conf_dungeon_inners_level.erl:867
1:10340,1,主线/小秘境,10340,小秘境 3-40,85,,53,10101,chapter_id=3; monster_strength_level=85,src/conf/conf_dungeon_inners_level.erl:877
1:10401,1,主线/小秘境,10401,小秘境 4-1,86,,54,10101,chapter_id=4; monster_strength_level=86,src/conf/conf_dungeon_inners_level.erl:887
1:10402,1,主线/小秘境,10402,小秘境 4-2,87,,54,10101,chapter_id=4; monster_strength_level=87,src/conf/conf_dungeon_inners_level.erl:897
1:10403,1,主线/小秘境,10403,小秘境 4-3,88,,55,10101,chapter_id=4; monster_strength_level=88,src/conf/conf_dungeon_inners_level.erl:907
1:10404,1,主线/小秘境,10404,小秘境 4-4,89,,55,10101,chapter_id=4; monster_strength_level=89,src/conf/conf_dungeon_inners_level.erl:917
1:10405,1,主线/小秘境,10405,小秘境 4-5,90,,55,10101,chapter_id=4; monster_strength_level=90,src/conf/conf_dungeon_inners_level.erl:927
1:10406,1,主线/小秘境,10406,小秘境 4-6,91,,56,10101,chapter_id=4; monster_strength_level=91,src/conf/conf_dungeon_inners_level.erl:937
1:10407,1,主线/小秘境,10407,小秘境 4-7,92,,56,10101,chapter_id=4; monster_strength_level=92,src/conf/conf_dungeon_inners_level.erl:947
1:10408,1,主线/小秘境,10408,小秘境 4-8,93,,57,10101,chapter_id=4; monster_strength_level=93,src/conf/conf_dungeon_inners_level.erl:957
1:10409,1,主线/小秘境,10409,小秘境 4-9,94,,57,10101,chapter_id=4; monster_strength_level=94,src/conf/conf_dungeon_inners_level.erl:967
1:10410,1,主线/小秘境,10410,小秘境 4-10,95,,57,10101,chapter_id=4; monster_strength_level=95,src/conf/conf_dungeon_inners_level.erl:977
1:10411,1,主线/小秘境,10411,小秘境 4-11,96,,58,10101,chapter_id=4; monster_strength_level=96,src/conf/conf_dungeon_inners_level.erl:987
1:10412,1,主线/小秘境,10412,小秘境 4-12,97,,58,10101,chapter_id=4; monster_strength_level=97,src/conf/conf_dungeon_inners_level.erl:997
1:10413,1,主线/小秘境,10413,小秘境 4-13,98,,58,10101,chapter_id=4; monster_strength_level=98,src/conf/conf_dungeon_inners_level.erl:1007
1:10414,1,主线/小秘境,10414,小秘境 4-14,99,,59,10101,chapter_id=4; monster_strength_level=99,src/conf/conf_dungeon_inners_level.erl:1017
1:10415,1,主线/小秘境,10415,小秘境 4-15,100,,59,10101,chapter_id=4; monster_strength_level=100,src/conf/conf_dungeon_inners_level.erl:1027
1:10416,1,主线/小秘境,10416,小秘境 4-16,101,,59,10101,chapter_id=4; monster_strength_level=101,src/conf/conf_dungeon_inners_level.erl:1037
1:10417,1,主线/小秘境,10417,小秘境 4-17,102,,60,10101,chapter_id=4; monster_strength_level=102,src/conf/conf_dungeon_inners_level.erl:1047
1:10418,1,主线/小秘境,10418,小秘境 4-18,103,,60,10101,chapter_id=4; monster_strength_level=103,src/conf/conf_dungeon_inners_level.erl:1057
1:10419,1,主线/小秘境,10419,小秘境 4-19,104,,61,10101,chapter_id=4; monster_strength_level=104,src/conf/conf_dungeon_inners_level.erl:1067
1:10420,1,主线/小秘境,10420,小秘境 4-20,105,,61,10101,chapter_id=4; monster_strength_level=105,src/conf/conf_dungeon_inners_level.erl:1077
1:10421,1,主线/小秘境,10421,小秘境 4-21,106,,61,10101,chapter_id=4; monster_strength_level=106,src/conf/conf_dungeon_inners_level.erl:1087
1:10422,1,主线/小秘境,10422,小秘境 4-22,107,,62,10101,chapter_id=4; monster_strength_level=107,src/conf/conf_dungeon_inners_level.erl:1097
1:10423,1,主线/小秘境,10423,小秘境 4-23,108,,62,10101,chapter_id=4; monster_strength_level=108,src/conf/conf_dungeon_inners_level.erl:1107
1:10424,1,主线/小秘境,10424,小秘境 4-24,109,,62,10101,chapter_id=4; monster_strength_level=109,src/conf/conf_dungeon_inners_level.erl:1117
1:10425,1,主线/小秘境,10425,小秘境 4-25,110,,63,10101,chapter_id=4; monster_strength_level=110,src/conf/conf_dungeon_inners_level.erl:1127
1:10426,1,主线/小秘境,10426,小秘境 4-26,111,,63,10101,chapter_id=4; monster_strength_level=111,src/conf/conf_dungeon_inners_level.erl:1137
1:10427,1,主线/小秘境,10427,小秘境 4-27,112,,63,10101,chapter_id=4; monster_strength_level=112,src/conf/conf_dungeon_inners_level.erl:1147
1:10428,1,主线/小秘境,10428,小秘境 4-28,113,,64,10101,chapter_id=4; monster_strength_level=113,src/conf/conf_dungeon_inners_level.erl:1157
1:10429,1,主线/小秘境,10429,小秘境 4-29,114,,64,10101,chapter_id=4; monster_strength_level=114,src/conf/conf_dungeon_inners_level.erl:1167
1:10430,1,主线/小秘境,10430,小秘境 4-30,115,,64,10101,chapter_id=4; monster_strength_level=115,src/conf/conf_dungeon_inners_level.erl:1177
1:10431,1,主线/小秘境,10431,小秘境 4-31,116,,65,10101,chapter_id=4; monster_strength_level=116,src/conf/conf_dungeon_inners_level.erl:1187
1:10432,1,主线/小秘境,10432,小秘境 4-32,117,,65,10101,chapter_id=4; monster_strength_level=117,src/conf/conf_dungeon_inners_level.erl:1197
1:10433,1,主线/小秘境,10433,小秘境 4-33,118,,65,10101,chapter_id=4; monster_strength_level=118,src/conf/conf_dungeon_inners_level.erl:1207
1:10434,1,主线/小秘境,10434,小秘境 4-34,119,,65,10101,chapter_id=4; monster_strength_level=119,src/conf/conf_dungeon_inners_level.erl:1217
1:10435,1,主线/小秘境,10435,小秘境 4-35,120,,66,10101,chapter_id=4; monster_strength_level=120,src/conf/conf_dungeon_inners_level.erl:1227
1:10436,1,主线/小秘境,10436,小秘境 4-36,121,,66,10101,chapter_id=4; monster_strength_level=121,src/conf/conf_dungeon_inners_level.erl:1237
1:10437,1,主线/小秘境,10437,小秘境 4-37,122,,66,10101,chapter_id=4; monster_strength_level=122,src/conf/conf_dungeon_inners_level.erl:1247
1:10438,1,主线/小秘境,10438,小秘境 4-38,123,,67,10101,chapter_id=4; monster_strength_level=123,src/conf/conf_dungeon_inners_level.erl:1257
1:10439,1,主线/小秘境,10439,小秘境 4-39,124,,67,10101,chapter_id=4; monster_strength_level=124,src/conf/conf_dungeon_inners_level.erl:1267
1:10440,1,主线/小秘境,10440,小秘境 4-40,125,,67,10101,chapter_id=4; monster_strength_level=125,src/conf/conf_dungeon_inners_level.erl:1277
1:10501,1,主线/小秘境,10501,小秘境 5-1,126,,68,10101,chapter_id=5; monster_strength_level=126,src/conf/conf_dungeon_inners_level.erl:1287
1:10502,1,主线/小秘境,10502,小秘境 5-2,127,,68,10101,chapter_id=5; monster_strength_level=127,src/conf/conf_dungeon_inners_level.erl:1297
1:10503,1,主线/小秘境,10503,小秘境 5-3,128,,68,10101,chapter_id=5; monster_strength_level=128,src/conf/conf_dungeon_inners_level.erl:1307
1:10504,1,主线/小秘境,10504,小秘境 5-4,129,,69,10101,chapter_id=5; monster_strength_level=129,src/conf/conf_dungeon_inners_level.erl:1317
1:10505,1,主线/小秘境,10505,小秘境 5-5,130,,69,10101,chapter_id=5; monster_strength_level=130,src/conf/conf_dungeon_inners_level.erl:1327
1:10506,1,主线/小秘境,10506,小秘境 5-6,131,,69,10101,chapter_id=5; monster_strength_level=131,src/conf/conf_dungeon_inners_level.erl:1337
1:10507,1,主线/小秘境,10507,小秘境 5-7,132,,70,10101,chapter_id=5; monster_strength_level=132,src/conf/conf_dungeon_inners_level.erl:1347
1:10508,1,主线/小秘境,10508,小秘境 5-8,133,,70,10101,chapter_id=5; monster_strength_level=133,src/conf/conf_dungeon_inners_level.erl:1357
1:10509,1,主线/小秘境,10509,小秘境 5-9,134,,71,10101,chapter_id=5; monster_strength_level=134,src/conf/conf_dungeon_inners_level.erl:1367
1:10510,1,主线/小秘境,10510,小秘境 5-10,135,,71,10101,chapter_id=5; monster_strength_level=135,src/conf/conf_dungeon_inners_level.erl:1377
1:10511,1,主线/小秘境,10511,小秘境 5-11,136,,71,10101,chapter_id=5; monster_strength_level=136,src/conf/conf_dungeon_inners_level.erl:1387
1:10512,1,主线/小秘境,10512,小秘境 5-12,137,,72,10101,chapter_id=5; monster_strength_level=137,src/conf/conf_dungeon_inners_level.erl:1397
1:10513,1,主线/小秘境,10513,小秘境 5-13,138,,72,10101,chapter_id=5; monster_strength_level=138,src/conf/conf_dungeon_inners_level.erl:1407
1:10514,1,主线/小秘境,10514,小秘境 5-14,139,,73,10101,chapter_id=5; monster_strength_level=139,src/conf/conf_dungeon_inners_level.erl:1417
1:10515,1,主线/小秘境,10515,小秘境 5-15,140,,73,10101,chapter_id=5; monster_strength_level=140,src/conf/conf_dungeon_inners_level.erl:1427
1:10516,1,主线/小秘境,10516,小秘境 5-16,141,,73,10101,chapter_id=5; monster_strength_level=141,src/conf/conf_dungeon_inners_level.erl:1437
1:10517,1,主线/小秘境,10517,小秘境 5-17,142,,74,10101,chapter_id=5; monster_strength_level=142,src/conf/conf_dungeon_inners_level.erl:1447
1:10518,1,主线/小秘境,10518,小秘境 5-18,143,,74,10101,chapter_id=5; monster_strength_level=143,src/conf/conf_dungeon_inners_level.erl:1457
1:10519,1,主线/小秘境,10519,小秘境 5-19,144,,75,10101,chapter_id=5; monster_strength_level=144,src/conf/conf_dungeon_inners_level.erl:1467
1:10520,1,主线/小秘境,10520,小秘境 5-20,145,,75,10101,chapter_id=5; monster_strength_level=145,src/conf/conf_dungeon_inners_level.erl:1477
1:10521,1,主线/小秘境,10521,小秘境 5-21,146,,75,10101,chapter_id=5; monster_strength_level=146,src/conf/conf_dungeon_inners_level.erl:1487
1:10522,1,主线/小秘境,10522,小秘境 5-22,147,,76,10101,chapter_id=5; monster_strength_level=147,src/conf/conf_dungeon_inners_level.erl:1497
1:10523,1,主线/小秘境,10523,小秘境 5-23,148,,76,10101,chapter_id=5; monster_strength_level=148,src/conf/conf_dungeon_inners_level.erl:1507
1:10524,1,主线/小秘境,10524,小秘境 5-24,149,,77,10101,chapter_id=5; monster_strength_level=149,src/conf/conf_dungeon_inners_level.erl:1517
1:10525,1,主线/小秘境,10525,小秘境 5-25,150,,77,10101,chapter_id=5; monster_strength_level=150,src/conf/conf_dungeon_inners_level.erl:1527
1:10526,1,主线/小秘境,10526,小秘境 5-26,151,,77,10101,chapter_id=5; monster_strength_level=151,src/conf/conf_dungeon_inners_level.erl:1537
1:10527,1,主线/小秘境,10527,小秘境 5-27,152,,78,10101,chapter_id=5; monster_strength_level=152,src/conf/conf_dungeon_inners_level.erl:1547
1:10528,1,主线/小秘境,10528,小秘境 5-28,153,,78,10101,chapter_id=5; monster_strength_level=153,src/conf/conf_dungeon_inners_level.erl:1557
1:10529,1,主线/小秘境,10529,小秘境 5-29,154,,79,10101,chapter_id=5; monster_strength_level=154,src/conf/conf_dungeon_inners_level.erl:1567
1:10530,1,主线/小秘境,10530,小秘境 5-30,155,,79,10101,chapter_id=5; monster_strength_level=155,src/conf/conf_dungeon_inners_level.erl:1577
1:10531,1,主线/小秘境,10531,小秘境 5-31,156,,80,10101,chapter_id=5; monster_strength_level=156,src/conf/conf_dungeon_inners_level.erl:1587
1:10532,1,主线/小秘境,10532,小秘境 5-32,157,,80,10101,chapter_id=5; monster_strength_level=157,src/conf/conf_dungeon_inners_level.erl:1597
1:10533,1,主线/小秘境,10533,小秘境 5-33,158,,80,10101,chapter_id=5; monster_strength_level=158,src/conf/conf_dungeon_inners_level.erl:1607
1:10534,1,主线/小秘境,10534,小秘境 5-34,159,,81,10101,chapter_id=5; monster_strength_level=159,src/conf/conf_dungeon_inners_level.erl:1617
1:10535,1,主线/小秘境,10535,小秘境 5-35,160,,81,10101,chapter_id=5; monster_strength_level=160,src/conf/conf_dungeon_inners_level.erl:1627
1:10536,1,主线/小秘境,10536,小秘境 5-36,161,,82,10101,chapter_id=5; monster_strength_level=161,src/conf/conf_dungeon_inners_level.erl:1637
1:10537,1,主线/小秘境,10537,小秘境 5-37,162,,82,10101,chapter_id=5; monster_strength_level=162,src/conf/conf_dungeon_inners_level.erl:1647
1:10538,1,主线/小秘境,10538,小秘境 5-38,163,,83,10101,chapter_id=5; monster_strength_level=163,src/conf/conf_dungeon_inners_level.erl:1657
1:10539,1,主线/小秘境,10539,小秘境 5-39,164,,83,10101,chapter_id=5; monster_strength_level=164,src/conf/conf_dungeon_inners_level.erl:1667
1:10540,1,主线/小秘境,10540,小秘境 5-40,165,,84,10101,chapter_id=5; monster_strength_level=165,src/conf/conf_dungeon_inners_level.erl:1677
1:10541,1,主线/小秘境,10541,小秘境 5-41,166,,84,10101,chapter_id=5; monster_strength_level=166,src/conf/conf_dungeon_inners_level.erl:1687
1:10542,1,主线/小秘境,10542,小秘境 5-42,167,,85,10101,chapter_id=5; monster_strength_level=167,src/conf/conf_dungeon_inners_level.erl:1697
1:10543,1,主线/小秘境,10543,小秘境 5-43,168,,85,10101,chapter_id=5; monster_strength_level=168,src/conf/conf_dungeon_inners_level.erl:1707
1:10544,1,主线/小秘境,10544,小秘境 5-44,169,,86,10101,chapter_id=5; monster_strength_level=169,src/conf/conf_dungeon_inners_level.erl:1717
1:10545,1,主线/小秘境,10545,小秘境 5-45,170,,86,10101,chapter_id=5; monster_strength_level=170,src/conf/conf_dungeon_inners_level.erl:1727
1:10546,1,主线/小秘境,10546,小秘境 5-46,171,,87,10101,chapter_id=5; monster_strength_level=171,src/conf/conf_dungeon_inners_level.erl:1737
1:10547,1,主线/小秘境,10547,小秘境 5-47,172,,87,10101,chapter_id=5; monster_strength_level=172,src/conf/conf_dungeon_inners_level.erl:1747
1:10548,1,主线/小秘境,10548,小秘境 5-48,173,,88,10101,chapter_id=5; monster_strength_level=173,src/conf/conf_dungeon_inners_level.erl:1757
1:10549,1,主线/小秘境,10549,小秘境 5-49,174,,88,10101,chapter_id=5; monster_strength_level=174,src/conf/conf_dungeon_inners_level.erl:1767
1:10550,1,主线/小秘境,10550,小秘境 5-50,175,,89,10101,chapter_id=5; monster_strength_level=175,src/conf/conf_dungeon_inners_level.erl:1777
2:1,2,大秘境,1,大秘境 第1层,1,,8,500004,time_limit=60; monster_strength_level=1,src/conf/conf_great_rift_level.erl:37
2:2,2,大秘境,2,大秘境 第2层,2,,9,500004,time_limit=60; monster_strength_level=2,src/conf/conf_great_rift_level.erl:58
2:3,2,大秘境,3,大秘境 第3层,3,,10,500004,time_limit=60; monster_strength_level=3,src/conf/conf_great_rift_level.erl:79
2:4,2,大秘境,4,大秘境 第4层,4,,11,500004,time_limit=60; monster_strength_level=4,src/conf/conf_great_rift_level.erl:100
2:5,2,大秘境,5,大秘境 第5层,5,,20,500004,time_limit=60; monster_strength_level=5,src/conf/conf_great_rift_level.erl:121
2:6,2,大秘境,6,大秘境 第6层,6,,20,500004,time_limit=60; monster_strength_level=6,src/conf/conf_great_rift_level.erl:142
