装备类别,equipment_id,名称,career,职业,quality_tier,品质,部位,底材/基础装备ID,元素,技能/被动/效果ID,核心技能ID,套装ID,来源
主武器,1040013,曜光星镖,0,全职业,4,橙/传说,主武器槽,40013,0,40013,0,,src/conf/conf_weapon_primary.erl:523
主武器,1040014,翠晶权杖,0,全职业,4,橙/传说,主武器槽,40014,0,40014,0,,src/conf/conf_weapon_primary.erl:550
主武器,1040015,星辉权杖,0,全职业,4,橙/传说,主武器槽,40015,0,40015,0,,src/conf/conf_weapon_primary.erl:577
主武器,1040016,炎息,1,战士,5,黄/神铸,主武器槽,40016,2,2,0,,src/conf/conf_weapon_primary.erl:604
主武器,1040017,撒利的电泵,2,牧师,5,黄/神铸,主武器槽,40017,1,6,0,,src/conf/conf_weapon_primary.erl:631
主武器,1040018,苏醒者耶梦加得,3,游侠,5,黄/神铸,主武器槽,40018,3,4,0,,src/conf/conf_weapon_primary.erl:658
主武器,1040019,炽天之刃（TEST待删）,1,战士,6,红/不朽,主武器槽,40019,2,2,0,,src/conf/conf_weapon_primary.erl:685
主武器,1040020,轰雷圣槌（TEST待删）,2,牧师,6,红/不朽,主武器槽,40020,1,6,0,,src/conf/conf_weapon_primary.erl:712
主武器,1040021,蚀界魔弓（TEST待删）,3,游侠,6,红/不朽,主武器槽,40021,3,4,0,,src/conf/conf_weapon_primary.erl:739
副武器,1200001,（conf_item 未配置）,0,全职业,4,橙/传说,副武器槽,1200001,,12110,,0,src/conf/conf_weapon_secondary.erl:37
防具,3000001,启程头盔,0,全职业,1,白（灰）/凡品,槽位104,3000001,,0,,0,src/conf/conf_armor.erl:37
防具,3000002,启程头盔,0,全职业,1,白（灰）/凡品,槽位104,3000002,,0,,0,src/conf/conf_armor.erl:55
防具,3000003,启程头盔,0,全职业,1,白（灰）/凡品,槽位104,3000003,,0,,0,src/conf/conf_armor.erl:73
防具,3000004,启程头盔,0,全职业,1,白（灰）/凡品,槽位104,3000004,,0,,0,src/conf/conf_armor.erl:91
防具,3000005,启程头盔,0,全职业,1,白（灰）/凡品,槽位104,3000005,,0,,0,src/conf/conf_armor.erl:109
防具,3000006,启程头盔,0,全职业,1,白（灰）/凡品,槽位104,3000006,,0,,0,src/conf/conf_armor.erl:127
防具,3000007,启程头盔,0,全职业,1,白（灰）/凡品,槽位104,3000007,,0,,0,src/conf/conf_armor.erl:145
防具,3000008,启程头盔,0,全职业,1,白（灰）/凡品,槽位104,3000008,,0,,0,src/conf/conf_armor.erl:163
防具,3000009,启程头盔,0,全职业,1,白（灰）/凡品,槽位104,3000009,,0,,0,src/conf/conf_armor.erl:181
防具,3000010,启程头盔,0,全职业,1,白（灰）/凡品,槽位104,3000010,,0,,0,src/conf/conf_armor.erl:199
防具,3000011,寻路头盔,0,全职业,1,白（灰）/凡品,槽位104,3000011,,0,,0,src/conf/conf_armor.erl:217
防具,3000012,寻路头盔,0,全职业,1,白（灰）/凡品,槽位104,3000012,,0,,0,src/conf/conf_armor.erl:235
防具,3000013,寻路头盔,0,全职业,1,白（灰）/凡品,槽位104,3000013,,0,,0,src/conf/conf_armor.erl:253
防具,3000014,寻路头盔,0,全职业,1,白（灰）/凡品,槽位104,3000014,,0,,0,src/conf/conf_armor.erl:271
防具,3000015,寻路头盔,0,全职业,1,白（灰）/凡品,槽位104,3000015,,0,,0,src/conf/conf_armor.erl:289
防具,3000016,寻路头盔,0,全职业,1,白（灰）/凡品,槽位104,3000016,,0,,0,src/conf/conf_armor.erl:307
防具,3000017,寻路头盔,0,全职业,1,白（灰）/凡品,槽位104,3000017,,0,,0,src/conf/conf_armor.erl:325
防具,3000018,寻路头盔,0,全职业,1,白（灰）/凡品,槽位104,3000018,,0,,0,src/conf/conf_armor.erl:343
防具,3000019,寻路头盔,0,全职业,1,白（灰）/凡品,槽位104,3000019,,0,,0,src/conf/conf_armor.erl:361
防具,3000020,寻路头盔,0,全职业,1,白（灰）/凡品,槽位104,3000020,,0,,0,src/conf/conf_armor.erl:379
防具,3000021,远行头盔,0,全职业,1,白（灰）/凡品,槽位104,3000021,,0,,0,src/conf/conf_armor.erl:397
防具,3000022,远行头盔,0,全职业,1,白（灰）/凡品,槽位104,3000022,,0,,0,src/conf/conf_armor.erl:415
防具,3000023,远行头盔,0,全职业,1,白（灰）/凡品,槽位104,3000023,,0,,0,src/conf/conf_armor.erl:433
防具,3000024,远行头盔,0,全职业,1,白（灰）/凡品,槽位104,3000024,,0,,0,src/conf/conf_armor.erl:451
防具,3000025,远行头盔,0,全职业,1,白（灰）/凡品,槽位104,3000025,,0,,0,src/conf/conf_armor.erl:469
防具,3000026,远行头盔,0,全职业,1,白（灰）/凡品,槽位104,3000026,,0,,0,src/conf/conf_armor.erl:487
防具,3000027,远行头盔,0,全职业,1,白（灰）/凡品,槽位104,3000027,,0,,0,src/conf/conf_armor.erl:505
防具,3000028,远行头盔,0,全职业,1,白（灰）/凡品,槽位104,3000028,,0,,0,src/conf/conf_armor.erl:523
防具,3000029,远行头盔,0,全职业,1,白（灰）/凡品,槽位104,3000029,,0,,0,src/conf/conf_armor.erl:541
防具,3000030,远行头盔,0,全职业,1,白（灰）/凡品,槽位104,3000030,,0,,0,src/conf/conf_armor.erl:559
防具,3000031,拓荒头盔,0,全职业,1,白（灰）/凡品,槽位104,3000031,,0,,0,src/conf/conf_armor.erl:577
防具,3000032,拓荒头盔,0,全职业,1,白（灰）/凡品,槽位104,3000032,,0,,0,src/conf/conf_armor.erl:595
防具,3000033,拓荒头盔,0,全职业,1,白（灰）/凡品,槽位104,3000033,,0,,0,src/conf/conf_armor.erl:613
防具,3000034,拓荒头盔,0,全职业,1,白（灰）/凡品,槽位104,3000034,,0,,0,src/conf/conf_armor.erl:631
防具,3000035,拓荒头盔,0,全职业,1,白（灰）/凡品,槽位104,3000035,,0,,0,src/conf/conf_armor.erl:649
防具,3000036,拓荒头盔,0,全职业,1,白（灰）/凡品,槽位104,3000036,,0,,0,src/conf/conf_armor.erl:667
防具,3000037,拓荒头盔,0,全职业,1,白（灰）/凡品,槽位104,3000037,,0,,0,src/conf/conf_armor.erl:685
防具,3000038,拓荒头盔,0,全职业,1,白（灰）/凡品,槽位104,3000038,,0,,0,src/conf/conf_armor.erl:703
防具,3000039,拓荒头盔,0,全职业,1,白（灰）/凡品,槽位104,3000039,,0,,0,src/conf/conf_armor.erl:721
防具,3000040,拓荒头盔,0,全职业,1,白（灰）/凡品,槽位104,3000040,,0,,0,src/conf/conf_armor.erl:739
防具,3000041,拓荒头盔,0,全职业,1,白（灰）/凡品,槽位104,3000041,,0,,0,src/conf/conf_armor.erl:757
防具,3000042,拓荒头盔,0,全职业,1,白（灰）/凡品,槽位104,3000042,,0,,0,src/conf/conf_armor.erl:775
防具,3000043,拓荒头盔,0,全职业,1,白（灰）/凡品,槽位104,3000043,,0,,0,src/conf/conf_armor.erl:793
防具,3000044,拓荒头盔,0,全职业,1,白（灰）/凡品,槽位104,3000044,,0,,0,src/conf/conf_armor.erl:811
防具,3000045,拓荒头盔,0,全职业,1,白（灰）/凡品,槽位104,3000045,,0,,0,src/conf/conf_armor.erl:829
防具,3000046,拓荒头盔,0,全职业,1,白（灰）/凡品,槽位104,3000046,,0,,0,src/conf/conf_armor.erl:847
防具,3000047,拓荒头盔,0,全职业,1,白（灰）/凡品,槽位104,3000047,,0,,0,src/conf/conf_armor.erl:865
防具,3000048,拓荒头盔,0,全职业,1,白（灰）/凡品,槽位104,3000048,,0,,0,src/conf/conf_armor.erl:883
防具,3000049,拓荒头盔,0,全职业,1,白（灰）/凡品,槽位104,3000049,,0,,0,src/conf/conf_armor.erl:901
防具,3000050,拓荒头盔,0,全职业,1,白（灰）/凡品,槽位104,3000050,,0,,0,src/conf/conf_armor.erl:919
防具,3000051,远征头盔,0,全职业,1,白（灰）/凡品,槽位104,3000051,,0,,0,src/conf/conf_armor.erl:937
防具,3000052,远征头盔,0,全职业,1,白（灰）/凡品,槽位104,3000052,,0,,0,src/conf/conf_armor.erl:955
防具,3000053,远征头盔,0,全职业,1,白（灰）/凡品,槽位104,3000053,,0,,0,src/conf/conf_armor.erl:973
防具,3000054,远征头盔,0,全职业,1,白（灰）/凡品,槽位104,3000054,,0,,0,src/conf/conf_armor.erl:991
防具,3000055,远征头盔,0,全职业,1,白（灰）/凡品,槽位104,3000055,,0,,0,src/conf/conf_armor.erl:1009
防具,3000056,远征头盔,0,全职业,1,白（灰）/凡品,槽位104,3000056,,0,,0,src/conf/conf_armor.erl:1027
防具,3000057,远征头盔,0,全职业,1,白（灰）/凡品,槽位104,3000057,,0,,0,src/conf/conf_armor.erl:1045
防具,3000058,远征头盔,0,全职业,1,白（灰）/凡品,槽位104,3000058,,0,,0,src/conf/conf_armor.erl:1063
防具,3000059,远征头盔,0,全职业,1,白（灰）/凡品,槽位104,3000059,,0,,0,src/conf/conf_armor.erl:1081
防具,3000060,远征头盔,0,全职业,1,白（灰）/凡品,槽位104,3000060,,0,,0,src/conf/conf_armor.erl:1099
防具,3000061,远征头盔,0,全职业,1,白（灰）/凡品,槽位104,3000061,,0,,0,src/conf/conf_armor.erl:1117
防具,3000062,远征头盔,0,全职业,1,白（灰）/凡品,槽位104,3000062,,0,,0,src/conf/conf_armor.erl:1135
防具,3000063,远征头盔,0,全职业,1,白（灰）/凡品,槽位104,3000063,,0,,0,src/conf/conf_armor.erl:1153
防具,3000064,远征头盔,0,全职业,1,白（灰）/凡品,槽位104,3000064,,0,,0,src/conf/conf_armor.erl:1171
防具,3000065,远征头盔,0,全职业,1,白（灰）/凡品,槽位104,3000065,,0,,0,src/conf/conf_armor.erl:1189
防具,3000066,远征头盔,0,全职业,1,白（灰）/凡品,槽位104,3000066,,0,,0,src/conf/conf_armor.erl:1207
防具,3000067,远征头盔,0,全职业,1,白（灰）/凡品,槽位104,3000067,,0,,0,src/conf/conf_armor.erl:1225
防具,3000068,远征头盔,0,全职业,1,白（灰）/凡品,槽位104,3000068,,0,,0,src/conf/conf_armor.erl:1243
防具,3000069,远征头盔,0,全职业,1,白（灰）/凡品,槽位104,3000069,,0,,0,src/conf/conf_armor.erl:1261
防具,3000070,远征头盔,0,全职业,1,白（灰）/凡品,槽位104,3000070,,0,,0,src/conf/conf_armor.erl:1279
防具,3000071,破境头盔,0,全职业,1,白（灰）/凡品,槽位104,3000071,,0,,0,src/conf/conf_armor.erl:1297
防具,3000072,破境头盔,0,全职业,1,白（灰）/凡品,槽位104,3000072,,0,,0,src/conf/conf_armor.erl:1315
防具,3000073,破境头盔,0,全职业,1,白（灰）/凡品,槽位104,3000073,,0,,0,src/conf/conf_armor.erl:1333
防具,3000074,破境头盔,0,全职业,1,白（灰）/凡品,槽位104,3000074,,0,,0,src/conf/conf_armor.erl:1351
防具,3000075,破境头盔,0,全职业,1,白（灰）/凡品,槽位104,3000075,,0,,0,src/conf/conf_armor.erl:1369
防具,3000076,破境头盔,0,全职业,1,白（灰）/凡品,槽位104,3000076,,0,,0,src/conf/conf_armor.erl:1387
防具,3000077,破境头盔,0,全职业,1,白（灰）/凡品,槽位104,3000077,,0,,0,src/conf/conf_armor.erl:1405
防具,3000078,破境头盔,0,全职业,1,白（灰）/凡品,槽位104,3000078,,0,,0,src/conf/conf_armor.erl:1423
防具,3000079,破境头盔,0,全职业,1,白（灰）/凡品,槽位104,3000079,,0,,0,src/conf/conf_armor.erl:1441
防具,3000080,破境头盔,0,全职业,1,白（灰）/凡品,槽位104,3000080,,0,,0,src/conf/conf_armor.erl:1459
防具,3000081,破境头盔,0,全职业,1,白（灰）/凡品,槽位104,3000081,,0,,0,src/conf/conf_armor.erl:1477
防具,3000082,破境头盔,0,全职业,1,白（灰）/凡品,槽位104,3000082,,0,,0,src/conf/conf_armor.erl:1495
防具,3000083,破境头盔,0,全职业,1,白（灰）/凡品,槽位104,3000083,,0,,0,src/conf/conf_armor.erl:1513
防具,3000084,破境头盔,0,全职业,1,白（灰）/凡品,槽位104,3000084,,0,,0,src/conf/conf_armor.erl:1531
防具,3000085,破境头盔,0,全职业,1,白（灰）/凡品,槽位104,3000085,,0,,0,src/conf/conf_armor.erl:1549
防具,3000086,破境头盔,0,全职业,1,白（灰）/凡品,槽位104,3000086,,0,,0,src/conf/conf_armor.erl:1567
防具,3000087,破境头盔,0,全职业,1,白（灰）/凡品,槽位104,3000087,,0,,0,src/conf/conf_armor.erl:1585
防具,3000088,破境头盔,0,全职业,1,白（灰）/凡品,槽位104,3000088,,0,,0,src/conf/conf_armor.erl:1603
防具,3000089,破境头盔,0,全职业,1,白（灰）/凡品,槽位104,3000089,,0,,0,src/conf/conf_armor.erl:1621
防具,3000090,破境头盔,0,全职业,1,白（灰）/凡品,槽位104,3000090,,0,,0,src/conf/conf_armor.erl:1639
防具,3000091,启程披风,0,全职业,1,白（灰）/凡品,槽位105,3000091,,0,,0,src/conf/conf_armor.erl:1657
防具,3000092,启程披风,0,全职业,1,白（灰）/凡品,槽位105,3000092,,0,,0,src/conf/conf_armor.erl:1675
防具,3000093,启程披风,0,全职业,1,白（灰）/凡品,槽位105,3000093,,0,,0,src/conf/conf_armor.erl:1693
防具,3000094,启程披风,0,全职业,1,白（灰）/凡品,槽位105,3000094,,0,,0,src/conf/conf_armor.erl:1711
防具,3000095,启程披风,0,全职业,1,白（灰）/凡品,槽位105,3000095,,0,,0,src/conf/conf_armor.erl:1729
防具,3000096,启程披风,0,全职业,1,白（灰）/凡品,槽位105,3000096,,0,,0,src/conf/conf_armor.erl:1747
防具,3000097,启程披风,0,全职业,1,白（灰）/凡品,槽位105,3000097,,0,,0,src/conf/conf_armor.erl:1765
防具,3000098,启程披风,0,全职业,1,白（灰）/凡品,槽位105,3000098,,0,,0,src/conf/conf_armor.erl:1783
防具,3000099,启程披风,0,全职业,1,白（灰）/凡品,槽位105,3000099,,0,,0,src/conf/conf_armor.erl:1801
防具,3000100,启程披风,0,全职业,1,白（灰）/凡品,槽位105,3000100,,0,,0,src/conf/conf_armor.erl:1819
防具,3000101,寻路披风,0,全职业,1,白（灰）/凡品,槽位105,3000101,,0,,0,src/conf/conf_armor.erl:1837
防具,3000102,寻路披风,0,全职业,1,白（灰）/凡品,槽位105,3000102,,0,,0,src/conf/conf_armor.erl:1855
防具,3000103,寻路披风,0,全职业,1,白（灰）/凡品,槽位105,3000103,,0,,0,src/conf/conf_armor.erl:1873
防具,3000104,寻路披风,0,全职业,1,白（灰）/凡品,槽位105,3000104,,0,,0,src/conf/conf_armor.erl:1891
防具,3000105,寻路披风,0,全职业,1,白（灰）/凡品,槽位105,3000105,,0,,0,src/conf/conf_armor.erl:1909
防具,3000106,寻路披风,0,全职业,1,白（灰）/凡品,槽位105,3000106,,0,,0,src/conf/conf_armor.erl:1927
防具,3000107,寻路披风,0,全职业,1,白（灰）/凡品,槽位105,3000107,,0,,0,src/conf/conf_armor.erl:1945
防具,3000108,寻路披风,0,全职业,1,白（灰）/凡品,槽位105,3000108,,0,,0,src/conf/conf_armor.erl:1963
防具,3000109,寻路披风,0,全职业,1,白（灰）/凡品,槽位105,3000109,,0,,0,src/conf/conf_armor.erl:1981
防具,3000110,寻路披风,0,全职业,1,白（灰）/凡品,槽位105,3000110,,0,,0,src/conf/conf_armor.erl:1999
防具,3000111,远行披风,0,全职业,1,白（灰）/凡品,槽位105,3000111,,0,,0,src/conf/conf_armor.erl:2017
防具,3000112,远行披风,0,全职业,1,白（灰）/凡品,槽位105,3000112,,0,,0,src/conf/conf_armor.erl:2035
防具,3000113,远行披风,0,全职业,1,白（灰）/凡品,槽位105,3000113,,0,,0,src/conf/conf_armor.erl:2053
防具,3000114,远行披风,0,全职业,1,白（灰）/凡品,槽位105,3000114,,0,,0,src/conf/conf_armor.erl:2071
防具,3000115,远行披风,0,全职业,1,白（灰）/凡品,槽位105,3000115,,0,,0,src/conf/conf_armor.erl:2089
防具,3000116,远行披风,0,全职业,1,白（灰）/凡品,槽位105,3000116,,0,,0,src/conf/conf_armor.erl:2107
防具,3000117,远行披风,0,全职业,1,白（灰）/凡品,槽位105,3000117,,0,,0,src/conf/conf_armor.erl:2125
防具,3000118,远行披风,0,全职业,1,白（灰）/凡品,槽位105,3000118,,0,,0,src/conf/conf_armor.erl:2143
防具,3000119,远行披风,0,全职业,1,白（灰）/凡品,槽位105,3000119,,0,,0,src/conf/conf_armor.erl:2161
防具,3000120,远行披风,0,全职业,1,白（灰）/凡品,槽位105,3000120,,0,,0,src/conf/conf_armor.erl:2179
防具,3000121,拓荒披风,0,全职业,1,白（灰）/凡品,槽位105,3000121,,0,,0,src/conf/conf_armor.erl:2197
防具,3000122,拓荒披风,0,全职业,1,白（灰）/凡品,槽位105,3000122,,0,,0,src/conf/conf_armor.erl:2215
防具,3000123,拓荒披风,0,全职业,1,白（灰）/凡品,槽位105,3000123,,0,,0,src/conf/conf_armor.erl:2233
防具,3000124,拓荒披风,0,全职业,1,白（灰）/凡品,槽位105,3000124,,0,,0,src/conf/conf_armor.erl:2251
防具,3000125,拓荒披风,0,全职业,1,白（灰）/凡品,槽位105,3000125,,0,,0,src/conf/conf_armor.erl:2269
防具,3000126,拓荒披风,0,全职业,1,白（灰）/凡品,槽位105,3000126,,0,,0,src/conf/conf_armor.erl:2287
防具,3000127,拓荒披风,0,全职业,1,白（灰）/凡品,槽位105,3000127,,0,,0,src/conf/conf_armor.erl:2305
防具,3000128,拓荒披风,0,全职业,1,白（灰）/凡品,槽位105,3000128,,0,,0,src/conf/conf_armor.erl:2323
防具,3000129,拓荒披风,0,全职业,1,白（灰）/凡品,槽位105,3000129,,0,,0,src/conf/conf_armor.erl:2341
防具,3000130,拓荒披风,0,全职业,1,白（灰）/凡品,槽位105,3000130,,0,,0,src/conf/conf_armor.erl:2359
防具,3000131,拓荒披风,0,全职业,1,白（灰）/凡品,槽位105,3000131,,0,,0,src/conf/conf_armor.erl:2377
防具,3000132,拓荒披风,0,全职业,1,白（灰）/凡品,槽位105,3000132,,0,,0,src/conf/conf_armor.erl:2395
防具,3000133,拓荒披风,0,全职业,1,白（灰）/凡品,槽位105,3000133,,0,,0,src/conf/conf_armor.erl:2413
防具,3000134,拓荒披风,0,全职业,1,白（灰）/凡品,槽位105,3000134,,0,,0,src/conf/conf_armor.erl:2431
防具,3000135,拓荒披风,0,全职业,1,白（灰）/凡品,槽位105,3000135,,0,,0,src/conf/conf_armor.erl:2449
防具,3000136,拓荒披风,0,全职业,1,白（灰）/凡品,槽位105,3000136,,0,,0,src/conf/conf_armor.erl:2467
防具,3000137,拓荒披风,0,全职业,1,白（灰）/凡品,槽位105,3000137,,0,,0,src/conf/conf_armor.erl:2485
防具,3000138,拓荒披风,0,全职业,1,白（灰）/凡品,槽位105,3000138,,0,,0,src/conf/conf_armor.erl:2503
防具,3000139,拓荒披风,0,全职业,1,白（灰）/凡品,槽位105,3000139,,0,,0,src/conf/conf_armor.erl:2521
防具,3000140,拓荒披风,0,全职业,1,白（灰）/凡品,槽位105,3000140,,0,,0,src/conf/conf_armor.erl:2539
防具,3000141,远征披风,0,全职业,1,白（灰）/凡品,槽位105,3000141,,0,,0,src/conf/conf_armor.erl:2557
防具,3000142,远征披风,0,全职业,1,白（灰）/凡品,槽位105,3000142,,0,,0,src/conf/conf_armor.erl:2575
防具,3000143,远征披风,0,全职业,1,白（灰）/凡品,槽位105,3000143,,0,,0,src/conf/conf_armor.erl:2593
防具,3000144,远征披风,0,全职业,1,白（灰）/凡品,槽位105,3000144,,0,,0,src/conf/conf_armor.erl:2611
防具,3000145,远征披风,0,全职业,1,白（灰）/凡品,槽位105,3000145,,0,,0,src/conf/conf_armor.erl:2629
防具,3000146,远征披风,0,全职业,1,白（灰）/凡品,槽位105,3000146,,0,,0,src/conf/conf_armor.erl:2647
防具,3000147,远征披风,0,全职业,1,白（灰）/凡品,槽位105,3000147,,0,,0,src/conf/conf_armor.erl:2665
防具,3000148,远征披风,0,全职业,1,白（灰）/凡品,槽位105,3000148,,0,,0,src/conf/conf_armor.erl:2683
防具,3000149,远征披风,0,全职业,1,白（灰）/凡品,槽位105,3000149,,0,,0,src/conf/conf_armor.erl:2701
防具,3000150,远征披风,0,全职业,1,白（灰）/凡品,槽位105,3000150,,0,,0,src/conf/conf_armor.erl:2719
防具,3000151,远征披风,0,全职业,1,白（灰）/凡品,槽位105,3000151,,0,,0,src/conf/conf_armor.erl:2737
防具,3000152,远征披风,0,全职业,1,白（灰）/凡品,槽位105,3000152,,0,,0,src/conf/conf_armor.erl:2755
防具,3000153,远征披风,0,全职业,1,白（灰）/凡品,槽位105,3000153,,0,,0,src/conf/conf_armor.erl:2773
防具,3000154,远征披风,0,全职业,1,白（灰）/凡品,槽位105,3000154,,0,,0,src/conf/conf_armor.erl:2791
防具,3000155,远征披风,0,全职业,1,白（灰）/凡品,槽位105,3000155,,0,,0,src/conf/conf_armor.erl:2809
防具,3000156,远征披风,0,全职业,1,白（灰）/凡品,槽位105,3000156,,0,,0,src/conf/conf_armor.erl:2827
防具,3000157,远征披风,0,全职业,1,白（灰）/凡品,槽位105,3000157,,0,,0,src/conf/conf_armor.erl:2845
防具,3000158,远征披风,0,全职业,1,白（灰）/凡品,槽位105,3000158,,0,,0,src/conf/conf_armor.erl:2863
防具,3000159,远征披风,0,全职业,1,白（灰）/凡品,槽位105,3000159,,0,,0,src/conf/conf_armor.erl:2881
防具,3000160,远征披风,0,全职业,1,白（灰）/凡品,槽位105,3000160,,0,,0,src/conf/conf_armor.erl:2899
防具,3000161,破境披风,0,全职业,1,白（灰）/凡品,槽位105,3000161,,0,,0,src/conf/conf_armor.erl:2917
防具,3000162,破境披风,0,全职业,1,白（灰）/凡品,槽位105,3000162,,0,,0,src/conf/conf_armor.erl:2935
防具,3000163,破境披风,0,全职业,1,白（灰）/凡品,槽位105,3000163,,0,,0,src/conf/conf_armor.erl:2953
防具,3000164,破境披风,0,全职业,1,白（灰）/凡品,槽位105,3000164,,0,,0,src/conf/conf_armor.erl:2971
防具,3000165,破境披风,0,全职业,1,白（灰）/凡品,槽位105,3000165,,0,,0,src/conf/conf_armor.erl:2989
防具,3000166,破境披风,0,全职业,1,白（灰）/凡品,槽位105,3000166,,0,,0,src/conf/conf_armor.erl:3007
防具,3000167,破境披风,0,全职业,1,白（灰）/凡品,槽位105,3000167,,0,,0,src/conf/conf_armor.erl:3025
防具,3000168,破境披风,0,全职业,1,白（灰）/凡品,槽位105,3000168,,0,,0,src/conf/conf_armor.erl:3043
防具,3000169,破境披风,0,全职业,1,白（灰）/凡品,槽位105,3000169,,0,,0,src/conf/conf_armor.erl:3061
防具,3000170,破境披风,0,全职业,1,白（灰）/凡品,槽位105,3000170,,0,,0,src/conf/conf_armor.erl:3079
防具,3000171,破境披风,0,全职业,1,白（灰）/凡品,槽位105,3000171,,0,,0,src/conf/conf_armor.erl:3097
防具,3000172,破境披风,0,全职业,1,白（灰）/凡品,槽位105,3000172,,0,,0,src/conf/conf_armor.erl:3115
防具,3000173,破境披风,0,全职业,1,白（灰）/凡品,槽位105,3000173,,0,,0,src/conf/conf_armor.erl:3133
防具,3000174,破境披风,0,全职业,1,白（灰）/凡品,槽位105,3000174,,0,,0,src/conf/conf_armor.erl:3151
防具,3000175,破境披风,0,全职业,1,白（灰）/凡品,槽位105,3000175,,0,,0,src/conf/conf_armor.erl:3169
防具,3000176,破境披风,0,全职业,1,白（灰）/凡品,槽位105,3000176,,0,,0,src/conf/conf_armor.erl:3187
防具,3000177,破境披风,0,全职业,1,白（灰）/凡品,槽位105,3000177,,0,,0,src/conf/conf_armor.erl:3205
防具,3000178,破境披风,0,全职业,1,白（灰）/凡品,槽位105,3000178,,0,,0,src/conf/conf_armor.erl:3223
防具,3000179,破境披风,0,全职业,1,白（灰）/凡品,槽位105,3000179,,0,,0,src/conf/conf_armor.erl:3241
防具,3000180,破境披风,0,全职业,1,白（灰）/凡品,槽位105,3000180,,0,,0,src/conf/conf_armor.erl:3259
防具,3000181,启程胸甲,0,全职业,1,白（灰）/凡品,槽位106,3000181,,0,,0,src/conf/conf_armor.erl:3277
防具,3000182,启程胸甲,0,全职业,1,白（灰）/凡品,槽位106,3000182,,0,,0,src/conf/conf_armor.erl:3295
防具,3000183,启程胸甲,0,全职业,1,白（灰）/凡品,槽位106,3000183,,0,,0,src/conf/conf_armor.erl:3313
防具,3000184,启程胸甲,0,全职业,1,白（灰）/凡品,槽位106,3000184,,0,,0,src/conf/conf_armor.erl:3331
防具,3000185,启程胸甲,0,全职业,1,白（灰）/凡品,槽位106,3000185,,0,,0,src/conf/conf_armor.erl:3349
防具,3000186,启程胸甲,0,全职业,1,白（灰）/凡品,槽位106,3000186,,0,,0,src/conf/conf_armor.erl:3367
防具,3000187,启程胸甲,0,全职业,1,白（灰）/凡品,槽位106,3000187,,0,,0,src/conf/conf_armor.erl:3385
防具,3000188,启程胸甲,0,全职业,1,白（灰）/凡品,槽位106,3000188,,0,,0,src/conf/conf_armor.erl:3403
防具,3000189,启程胸甲,0,全职业,1,白（灰）/凡品,槽位106,3000189,,0,,0,src/conf/conf_armor.erl:3421
防具,3000190,启程胸甲,0,全职业,1,白（灰）/凡品,槽位106,3000190,,0,,0,src/conf/conf_armor.erl:3439
