item_id,服务端名称,多语言键,type,类型说明,quality,品质说明,获得去向,珍品,指令可获得,记录后台日志,param,来源
1023,70级稀世装备预览项,10030,1006,货币/材料（type 与 item_id 对齐）,3,紫/稀世,1,0,1,1,1,src/conf/conf_item.erl:411
1024,70级传说装备预览项,10031,1006,货币/材料（type 与 item_id 对齐）,4,橙/传说,1,0,1,1,1,src/conf/conf_item.erl:428
1025,70级神铸装备预览项,10032,1006,货币/材料（type 与 item_id 对齐）,5,黄/神铸,1,0,1,1,1,src/conf/conf_item.erl:445
1026,70级不朽装备预览项,10033,1006,货币/材料（type 与 item_id 对齐）,6,红/不朽,1,0,1,1,1,src/conf/conf_item.erl:462
1027,70级虹彩装备预览项,10034,1006,货币/材料（type 与 item_id 对齐）,7,彩/虹彩,1,0,1,1,1,src/conf/conf_item.erl:479
1028,90级凡品装备预览项,10035,1006,货币/材料（type 与 item_id 对齐）,1,白（灰）/凡品,1,0,1,1,1,src/conf/conf_item.erl:496
1029,90级精良装备预览项,10036,1006,货币/材料（type 与 item_id 对齐）,2,蓝/精良,1,0,1,1,1,src/conf/conf_item.erl:513
1030,90级稀世装备预览项,10037,1006,货币/材料（type 与 item_id 对齐）,3,紫/稀世,1,0,1,1,1,src/conf/conf_item.erl:530
1031,90级传说装备预览项,10038,1006,货币/材料（type 与 item_id 对齐）,4,橙/传说,1,0,1,1,1,src/conf/conf_item.erl:547
1032,90级神铸装备预览项,10039,1006,货币/材料（type 与 item_id 对齐）,5,黄/神铸,1,0,1,1,1,src/conf/conf_item.erl:564
1033,90级不朽装备预览项,10040,1006,货币/材料（type 与 item_id 对齐）,6,红/不朽,1,0,1,1,1,src/conf/conf_item.erl:581
1034,90级虹彩装备预览项,10041,1006,货币/材料（type 与 item_id 对齐）,7,彩/虹彩,1,0,1,1,1,src/conf/conf_item.erl:598
1035,50级珍品装备预览项,10042,1006,货币/材料（type 与 item_id 对齐）,4,橙/传说,1,1,1,1,1,src/conf/conf_item.erl:615
1036,70级珍品装备预览项,10043,1006,货币/材料（type 与 item_id 对齐）,4,橙/传说,1,1,1,1,1,src/conf/conf_item.erl:632
1037,90级珍品装备预览项,10044,1006,货币/材料（type 与 item_id 对齐）,4,橙/传说,1,1,1,1,1,src/conf/conf_item.erl:649
1038,TEST待删_装备本共享领奖次数,10045,1038,货币/材料（type 与 item_id 对齐）,4,橙/传说,2,0,1,1,1,src/conf/conf_item.erl:666
1039,金币挑战券,10047,1038,货币/材料（type 与 item_id 对齐）,4,橙/传说,2,0,1,1,1,src/conf/conf_item.erl:683
1040,武器挑战券,10049,1038,货币/材料（type 与 item_id 对齐）,4,橙/传说,2,0,1,1,1,src/conf/conf_item.erl:700
1041,防具挑战券,10051,1038,货币/材料（type 与 item_id 对齐）,4,橙/传说,2,0,1,1,1,src/conf/conf_item.erl:717
1042,技能挑战券,10053,1038,货币/材料（type 与 item_id 对齐）,4,橙/传说,2,0,1,1,1,src/conf/conf_item.erl:734
1043,高级技能素材,10055,1003,货币/材料（type 与 item_id 对齐）,4,橙/传说,2,0,1,1,1,src/conf/conf_item.erl:751
1044,黄金武器币,10057,1044,货币/材料（type 与 item_id 对齐）,4,橙/传说,2,0,1,1,1,src/conf/conf_item.erl:768
1045,抽卡券,10059,1045,货币/材料（type 与 item_id 对齐）,4,橙/传说,2,0,1,1,1,src/conf/conf_item.erl:785
1046,钱袋,10061,1046,货币/材料（type 与 item_id 对齐）,4,橙/传说,2,0,1,1,1,src/conf/conf_item.erl:802
1047,初级血源矿,10063,1047,货币/材料（type 与 item_id 对齐）,3,紫/稀世,2,0,1,1,1,src/conf/conf_item.erl:819
1048,高级血源矿,10065,1047,货币/材料（type 与 item_id 对齐）,4,橙/传说,2,0,1,1,1,src/conf/conf_item.erl:836
1049,初级坚甲晶石,10067,1049,货币/材料（type 与 item_id 对齐）,3,紫/稀世,2,0,1,1,1,src/conf/conf_item.erl:853
1050,高级坚甲晶石,10069,1049,货币/材料（type 与 item_id 对齐）,4,橙/传说,2,0,1,1,1,src/conf/conf_item.erl:870
1051,星币,10071,1051,货币/材料（type 与 item_id 对齐）,4,橙/传说,2,0,1,1,1,src/conf/conf_item.erl:887
1052,血源矿,10073,1052,货币/材料（type 与 item_id 对齐）,4,橙/传说,2,0,1,1,1,src/conf/conf_item.erl:904
1053,印记,10075,1053,货币/材料（type 与 item_id 对齐）,4,橙/传说,2,0,1,1,1,src/conf/conf_item.erl:921
10001,TEST待删_随机礼包,10908,1055,物品包,4,橙/传说,1,0,1,1,900002,src/conf/conf_item.erl:938
10002,TEST待删_固定奖励礼包,10910,1055,物品包,4,橙/传说,1,0,1,1,900001,src/conf/conf_item.erl:955
10003,TEST待删_自选礼包,10912,1056,自选物品包,4,橙/传说,1,0,1,1,900003,src/conf/conf_item.erl:972
40001,破损的剑·碎片,10087,1054,货币/材料（type 与 item_id 对齐）,2,蓝/精良,1,0,1,1,1040001,src/conf/conf_item.erl:989
40002,香蕉·碎片,10088,1054,货币/材料（type 与 item_id 对齐）,2,蓝/精良,1,0,1,1,1040002,src/conf/conf_item.erl:1006
40003,小型星镖·碎片,10089,1054,货币/材料（type 与 item_id 对齐）,2,蓝/精良,1,0,1,1,1040003,src/conf/conf_item.erl:1023
40004,铁权杖·碎片,10090,1054,货币/材料（type 与 item_id 对齐）,2,蓝/精良,1,0,1,1,1040004,src/conf/conf_item.erl:1040
40005,木制权杖·碎片,10091,1054,货币/材料（type 与 item_id 对齐）,2,蓝/精良,1,0,1,1,1040005,src/conf/conf_item.erl:1057
40006,精钢长剑·碎片,10092,1054,货币/材料（type 与 item_id 对齐）,3,紫/稀世,1,0,1,1,1040006,src/conf/conf_item.erl:1074
40007,鱼骨·碎片,10093,1054,货币/材料（type 与 item_id 对齐）,3,紫/稀世,1,0,1,1,1040007,src/conf/conf_item.erl:1091
40008,风行星镖·碎片,10094,1054,货币/材料（type 与 item_id 对齐）,3,紫/稀世,1,0,1,1,1040008,src/conf/conf_item.erl:1108
40009,奥能权杖·碎片,10095,1054,货币/材料（type 与 item_id 对齐）,3,紫/稀世,1,0,1,1,1040009,src/conf/conf_item.erl:1125
40010,水灵权杖·碎片,10096,1054,货币/材料（type 与 item_id 对齐）,3,紫/稀世,1,0,1,1,1040010,src/conf/conf_item.erl:1142
40011,秘银大剑·碎片,10097,1054,货币/材料（type 与 item_id 对齐）,4,橙/传说,1,0,1,1,1040011,src/conf/conf_item.erl:1159
40012,樱花·碎片,10098,1054,货币/材料（type 与 item_id 对齐）,4,橙/传说,1,0,1,1,1040012,src/conf/conf_item.erl:1176
40013,曜光星镖·碎片,10099,1054,货币/材料（type 与 item_id 对齐）,4,橙/传说,1,0,1,1,1040013,src/conf/conf_item.erl:1193
40014,翠晶权杖·碎片,10100,1054,货币/材料（type 与 item_id 对齐）,4,橙/传说,1,0,1,1,1040014,src/conf/conf_item.erl:1210
40015,星辉权杖·碎片,10101,1054,货币/材料（type 与 item_id 对齐）,4,橙/传说,1,0,1,1,1040015,src/conf/conf_item.erl:1227
40016,炎息·碎片,10102,1054,货币/材料（type 与 item_id 对齐）,5,黄/神铸,1,0,1,1,1040016,src/conf/conf_item.erl:1244
40017,撒利的电泵·碎片,10103,1054,货币/材料（type 与 item_id 对齐）,5,黄/神铸,1,0,1,1,1040017,src/conf/conf_item.erl:1261
40018,苏醒者耶梦加得·碎片,10104,1054,货币/材料（type 与 item_id 对齐）,5,黄/神铸,1,0,1,1,1040018,src/conf/conf_item.erl:1278
40019,炽天之刃·碎片（TEST待删）,10105,1054,货币/材料（type 与 item_id 对齐）,6,红/不朽,1,0,1,1,1040019,src/conf/conf_item.erl:1295
40020,轰雷圣槌·碎片（TEST待删）,10106,1054,货币/材料（type 与 item_id 对齐）,6,红/不朽,1,0,1,1,1040020,src/conf/conf_item.erl:1312
40021,蚀界魔弓·碎片（TEST待删）,10107,1054,货币/材料（type 与 item_id 对齐）,6,红/不朽,1,0,1,1,1040021,src/conf/conf_item.erl:1329
900001,TEST待删_固定奖励礼包,10910,1055,物品包,4,橙/传说,1,0,1,1,900001,src/conf/conf_item.erl:1346
900002,TEST待删_随机礼包,10908,1055,物品包,4,橙/传说,1,0,1,1,900002,src/conf/conf_item.erl:1363
900003,TEST待删_自选礼包,10912,1056,自选物品包,4,橙/传说,1,0,1,1,900003,src/conf/conf_item.erl:1380
1000001,剑,50001,101,武器,1,白（灰）/凡品,1,0,1,1,0,src/conf/conf_item.erl:1397
1000002,权杖,50012,101,武器,1,白（灰）/凡品,1,0,1,1,0,src/conf/conf_item.erl:1414
1000003,弓,50014,101,武器,1,白（灰）/凡品,1,0,1,1,0,src/conf/conf_item.erl:1431
1001001,极·炎息,50003,101,武器,6,红/不朽,1,0,1,1,0,src/conf/conf_item.erl:1448
1002001,极·撒利的电泵,50016,101,武器,6,红/不朽,1,0,1,1,0,src/conf/conf_item.erl:1465
1003001,极·苏醒者耶梦加得,50018,101,武器,6,红/不朽,1,0,1,1,0,src/conf/conf_item.erl:1482
1040001,破损的剑,50020,101,武器,2,蓝/精良,1,0,1,1,0,src/conf/conf_item.erl:1499
1040002,香蕉,50022,101,武器,2,蓝/精良,1,0,1,1,0,src/conf/conf_item.erl:1516
1040003,小型星镖,50024,101,武器,2,蓝/精良,1,0,1,1,0,src/conf/conf_item.erl:1533
1040004,铁权杖,50026,101,武器,2,蓝/精良,1,0,1,1,0,src/conf/conf_item.erl:1550
1040005,木制权杖,50028,101,武器,2,蓝/精良,1,0,1,1,0,src/conf/conf_item.erl:1567
1040006,精钢长剑,50030,101,武器,3,紫/稀世,1,0,1,1,0,src/conf/conf_item.erl:1584
1040007,鱼骨,50032,101,武器,3,紫/稀世,1,0,1,1,0,src/conf/conf_item.erl:1601
1040008,风行星镖,50034,101,武器,3,紫/稀世,1,0,1,1,0,src/conf/conf_item.erl:1618
1040009,奥能权杖,50036,101,武器,3,紫/稀世,1,0,1,1,0,src/conf/conf_item.erl:1635
1040010,水灵权杖,50038,101,武器,3,紫/稀世,1,0,1,1,0,src/conf/conf_item.erl:1652
1040011,秘银大剑,50040,101,武器,4,橙/传说,1,0,1,1,0,src/conf/conf_item.erl:1669
1040012,樱花,50042,101,武器,4,橙/传说,1,0,1,1,0,src/conf/conf_item.erl:1686
1040013,曜光星镖,50044,101,武器,4,橙/传说,1,0,1,1,0,src/conf/conf_item.erl:1703
1040014,翠晶权杖,50046,101,武器,4,橙/传说,1,0,1,1,0,src/conf/conf_item.erl:1720
1040015,星辉权杖,50048,101,武器,4,橙/传说,1,0,1,1,0,src/conf/conf_item.erl:1737
1040016,炎息,50050,101,武器,5,黄/神铸,1,0,1,1,0,src/conf/conf_item.erl:1754
1040017,撒利的电泵,50052,101,武器,5,黄/神铸,1,0,1,1,0,src/conf/conf_item.erl:1771
1040018,苏醒者耶梦加得,50054,101,武器,5,黄/神铸,1,0,1,1,0,src/conf/conf_item.erl:1788
1040019,炽天之刃（TEST待删）,50056,101,武器,6,红/不朽,1,0,1,1,0,src/conf/conf_item.erl:1805
1040020,轰雷圣槌（TEST待删）,50058,101,武器,6,红/不朽,1,0,1,1,0,src/conf/conf_item.erl:1822
1040021,蚀界魔弓（TEST待删）,50060,101,武器,6,红/不朽,1,0,1,1,0,src/conf/conf_item.erl:1839
1100001,剑·碎片,10081,1054,货币/材料（type 与 item_id 对齐）,1,白（灰）/凡品,1,0,1,1,1000001,src/conf/conf_item.erl:1856
1100002,权杖·碎片,10082,1054,货币/材料（type 与 item_id 对齐）,1,白（灰）/凡品,1,0,1,1,1000002,src/conf/conf_item.erl:1873
1100003,弓·碎片,10083,1054,货币/材料（type 与 item_id 对齐）,1,白（灰）/凡品,1,0,1,1,1000003,src/conf/conf_item.erl:1890
1101001,极·炎息·碎片,10084,1054,货币/材料（type 与 item_id 对齐）,6,红/不朽,1,0,1,1,1001001,src/conf/conf_item.erl:1907
1102001,极·撒利的电泵·碎片,10085,1054,货币/材料（type 与 item_id 对齐）,6,红/不朽,1,0,1,1,1002001,src/conf/conf_item.erl:1924
1103001,极·苏醒者耶梦加得·碎片,10086,1054,货币/材料（type 与 item_id 对齐）,6,红/不朽,1,0,1,1,1003001,src/conf/conf_item.erl:1941
3000001,启程头盔,150118,104,头部,1,白（灰）/凡品,1,0,1,1,1,src/conf/conf_item.erl:1958
3000002,启程头盔,150118,104,头部,1,白（灰）/凡品,1,0,1,1,2,src/conf/conf_item.erl:1975
3000003,启程头盔,150118,104,头部,1,白（灰）/凡品,1,0,1,1,3,src/conf/conf_item.erl:1992
3000004,启程头盔,150118,104,头部,1,白（灰）/凡品,1,0,1,1,4,src/conf/conf_item.erl:2009
3000005,启程头盔,150118,104,头部,1,白（灰）/凡品,1,0,1,1,5,src/conf/conf_item.erl:2026
3000006,启程头盔,150118,104,头部,1,白（灰）/凡品,1,0,1,1,6,src/conf/conf_item.erl:2043
3000007,启程头盔,150118,104,头部,1,白（灰）/凡品,1,0,1,1,7,src/conf/conf_item.erl:2060
3000008,启程头盔,150118,104,头部,1,白（灰）/凡品,1,0,1,1,8,src/conf/conf_item.erl:2077
3000009,启程头盔,150118,104,头部,1,白（灰）/凡品,1,0,1,1,9,src/conf/conf_item.erl:2094
3000010,启程头盔,150118,104,头部,1,白（灰）/凡品,1,0,1,1,10,src/conf/conf_item.erl:2111
3000011,寻路头盔,150125,104,头部,1,白（灰）/凡品,1,0,1,1,11,src/conf/conf_item.erl:2128
3000012,寻路头盔,150125,104,头部,1,白（灰）/凡品,1,0,1,1,12,src/conf/conf_item.erl:2145
3000013,寻路头盔,150125,104,头部,1,白（灰）/凡品,1,0,1,1,13,src/conf/conf_item.erl:2162
3000014,寻路头盔,150125,104,头部,1,白（灰）/凡品,1,0,1,1,14,src/conf/conf_item.erl:2179
3000015,寻路头盔,150125,104,头部,1,白（灰）/凡品,1,0,1,1,15,src/conf/conf_item.erl:2196
3000016,寻路头盔,150125,104,头部,1,白（灰）/凡品,1,0,1,1,16,src/conf/conf_item.erl:2213
3000017,寻路头盔,150125,104,头部,1,白（灰）/凡品,1,0,1,1,17,src/conf/conf_item.erl:2230
3000018,寻路头盔,150125,104,头部,1,白（灰）/凡品,1,0,1,1,18,src/conf/conf_item.erl:2247
3000019,寻路头盔,150125,104,头部,1,白（灰）/凡品,1,0,1,1,19,src/conf/conf_item.erl:2264
3000020,寻路头盔,150125,104,头部,1,白（灰）/凡品,1,0,1,1,20,src/conf/conf_item.erl:2281
3000021,远行头盔,150132,104,头部,1,白（灰）/凡品,1,0,1,1,21,src/conf/conf_item.erl:2298
3000022,远行头盔,150132,104,头部,1,白（灰）/凡品,1,0,1,1,22,src/conf/conf_item.erl:2315
3000023,远行头盔,150132,104,头部,1,白（灰）/凡品,1,0,1,1,23,src/conf/conf_item.erl:2332
3000024,远行头盔,150132,104,头部,1,白（灰）/凡品,1,0,1,1,24,src/conf/conf_item.erl:2349
3000025,远行头盔,150132,104,头部,1,白（灰）/凡品,1,0,1,1,25,src/conf/conf_item.erl:2366
3000026,远行头盔,150132,104,头部,1,白（灰）/凡品,1,0,1,1,26,src/conf/conf_item.erl:2383
3000027,远行头盔,150132,104,头部,1,白（灰）/凡品,1,0,1,1,27,src/conf/conf_item.erl:2400
3000028,远行头盔,150132,104,头部,1,白（灰）/凡品,1,0,1,1,28,src/conf/conf_item.erl:2417
3000029,远行头盔,150132,104,头部,1,白（灰）/凡品,1,0,1,1,29,src/conf/conf_item.erl:2434
3000030,远行头盔,150132,104,头部,1,白（灰）/凡品,1,0,1,1,30,src/conf/conf_item.erl:2451
3000031,拓荒头盔,150139,104,头部,1,白（灰）/凡品,1,0,1,1,31,src/conf/conf_item.erl:2468
3000032,拓荒头盔,150139,104,头部,1,白（灰）/凡品,1,0,1,1,32,src/conf/conf_item.erl:2485
3000033,拓荒头盔,150139,104,头部,1,白（灰）/凡品,1,0,1,1,33,src/conf/conf_item.erl:2502
3000034,拓荒头盔,150139,104,头部,1,白（灰）/凡品,1,0,1,1,34,src/conf/conf_item.erl:2519
3000035,拓荒头盔,150139,104,头部,1,白（灰）/凡品,1,0,1,1,35,src/conf/conf_item.erl:2536
3000036,拓荒头盔,150139,104,头部,1,白（灰）/凡品,1,0,1,1,36,src/conf/conf_item.erl:2553
3000037,拓荒头盔,150139,104,头部,1,白（灰）/凡品,1,0,1,1,37,src/conf/conf_item.erl:2570
3000038,拓荒头盔,150139,104,头部,1,白（灰）/凡品,1,0,1,1,38,src/conf/conf_item.erl:2587
3000039,拓荒头盔,150139,104,头部,1,白（灰）/凡品,1,0,1,1,39,src/conf/conf_item.erl:2604
3000040,拓荒头盔,150139,104,头部,1,白（灰）/凡品,1,0,1,1,40,src/conf/conf_item.erl:2621
3000041,拓荒头盔,150139,104,头部,1,白（灰）/凡品,1,0,1,1,41,src/conf/conf_item.erl:2638
3000042,拓荒头盔,150139,104,头部,1,白（灰）/凡品,1,0,1,1,42,src/conf/conf_item.erl:2655
3000043,拓荒头盔,150139,104,头部,1,白（灰）/凡品,1,0,1,1,43,src/conf/conf_item.erl:2672
3000044,拓荒头盔,150139,104,头部,1,白（灰）/凡品,1,0,1,1,44,src/conf/conf_item.erl:2689
3000045,拓荒头盔,150139,104,头部,1,白（灰）/凡品,1,0,1,1,45,src/conf/conf_item.erl:2706
3000046,拓荒头盔,150139,104,头部,1,白（灰）/凡品,1,0,1,1,46,src/conf/conf_item.erl:2723
3000047,拓荒头盔,150139,104,头部,1,白（灰）/凡品,1,0,1,1,47,src/conf/conf_item.erl:2740
3000048,拓荒头盔,150139,104,头部,1,白（灰）/凡品,1,0,1,1,48,src/conf/conf_item.erl:2757
3000049,拓荒头盔,150139,104,头部,1,白（灰）/凡品,1,0,1,1,49,src/conf/conf_item.erl:2774
3000050,拓荒头盔,150139,104,头部,1,白（灰）/凡品,1,0,1,1,50,src/conf/conf_item.erl:2791
3000051,远征头盔,150146,104,头部,1,白（灰）/凡品,1,0,1,1,51,src/conf/conf_item.erl:2808
3000052,远征头盔,150146,104,头部,1,白（灰）/凡品,1,0,1,1,52,src/conf/conf_item.erl:2825
3000053,远征头盔,150146,104,头部,1,白（灰）/凡品,1,0,1,1,53,src/conf/conf_item.erl:2842
3000054,远征头盔,150146,104,头部,1,白（灰）/凡品,1,0,1,1,54,src/conf/conf_item.erl:2859
3000055,远征头盔,150146,104,头部,1,白（灰）/凡品,1,0,1,1,55,src/conf/conf_item.erl:2876
3000056,远征头盔,150146,104,头部,1,白（灰）/凡品,1,0,1,1,56,src/conf/conf_item.erl:2893
3000057,远征头盔,150146,104,头部,1,白（灰）/凡品,1,0,1,1,57,src/conf/conf_item.erl:2910
3000058,远征头盔,150146,104,头部,1,白（灰）/凡品,1,0,1,1,58,src/conf/conf_item.erl:2927
3000059,远征头盔,150146,104,头部,1,白（灰）/凡品,1,0,1,1,59,src/conf/conf_item.erl:2944
3000060,远征头盔,150146,104,头部,1,白（灰）/凡品,1,0,1,1,60,src/conf/conf_item.erl:2961
3000061,远征头盔,150146,104,头部,1,白（灰）/凡品,1,0,1,1,61,src/conf/conf_item.erl:2978
3000062,远征头盔,150146,104,头部,1,白（灰）/凡品,1,0,1,1,62,src/conf/conf_item.erl:2995
3000063,远征头盔,150146,104,头部,1,白（灰）/凡品,1,0,1,1,63,src/conf/conf_item.erl:3012
3000064,远征头盔,150146,104,头部,1,白（灰）/凡品,1,0,1,1,64,src/conf/conf_item.erl:3029
3000065,远征头盔,150146,104,头部,1,白（灰）/凡品,1,0,1,1,65,src/conf/conf_item.erl:3046
3000066,远征头盔,150146,104,头部,1,白（灰）/凡品,1,0,1,1,66,src/conf/conf_item.erl:3063
3000067,远征头盔,150146,104,头部,1,白（灰）/凡品,1,0,1,1,67,src/conf/conf_item.erl:3080
3000068,远征头盔,150146,104,头部,1,白（灰）/凡品,1,0,1,1,68,src/conf/conf_item.erl:3097
3000069,远征头盔,150146,104,头部,1,白（灰）/凡品,1,0,1,1,69,src/conf/conf_item.erl:3114
3000070,远征头盔,150146,104,头部,1,白（灰）/凡品,1,0,1,1,70,src/conf/conf_item.erl:3131
3000071,破境头盔,150153,104,头部,1,白（灰）/凡品,1,0,1,1,71,src/conf/conf_item.erl:3148
3000072,破境头盔,150153,104,头部,1,白（灰）/凡品,1,0,1,1,72,src/conf/conf_item.erl:3165
3000073,破境头盔,150153,104,头部,1,白（灰）/凡品,1,0,1,1,73,src/conf/conf_item.erl:3182
3000074,破境头盔,150153,104,头部,1,白（灰）/凡品,1,0,1,1,74,src/conf/conf_item.erl:3199
3000075,破境头盔,150153,104,头部,1,白（灰）/凡品,1,0,1,1,75,src/conf/conf_item.erl:3216
3000076,破境头盔,150153,104,头部,1,白（灰）/凡品,1,0,1,1,76,src/conf/conf_item.erl:3233
3000077,破境头盔,150153,104,头部,1,白（灰）/凡品,1,0,1,1,77,src/conf/conf_item.erl:3250
3000078,破境头盔,150153,104,头部,1,白（灰）/凡品,1,0,1,1,78,src/conf/conf_item.erl:3267
3000079,破境头盔,150153,104,头部,1,白（灰）/凡品,1,0,1,1,79,src/conf/conf_item.erl:3284
3000080,破境头盔,150153,104,头部,1,白（灰）/凡品,1,0,1,1,80,src/conf/conf_item.erl:3301
3000081,破境头盔,150153,104,头部,1,白（灰）/凡品,1,0,1,1,81,src/conf/conf_item.erl:3318
3000082,破境头盔,150153,104,头部,1,白（灰）/凡品,1,0,1,1,82,src/conf/conf_item.erl:3335
3000083,破境头盔,150153,104,头部,1,白（灰）/凡品,1,0,1,1,83,src/conf/conf_item.erl:3352
3000084,破境头盔,150153,104,头部,1,白（灰）/凡品,1,0,1,1,84,src/conf/conf_item.erl:3369
3000085,破境头盔,150153,104,头部,1,白（灰）/凡品,1,0,1,1,85,src/conf/conf_item.erl:3386
3000086,破境头盔,150153,104,头部,1,白（灰）/凡品,1,0,1,1,86,src/conf/conf_item.erl:3403
3000087,破境头盔,150153,104,头部,1,白（灰）/凡品,1,0,1,1,87,src/conf/conf_item.erl:3420
3000088,破境头盔,150153,104,头部,1,白（灰）/凡品,1,0,1,1,88,src/conf/conf_item.erl:3437
3000089,破境头盔,150153,104,头部,1,白（灰）/凡品,1,0,1,1,89,src/conf/conf_item.erl:3454
3000090,破境头盔,150153,104,头部,1,白（灰）/凡品,1,0,1,1,90,src/conf/conf_item.erl:3471
3000091,启程披风,150119,105,披风,1,白（灰）/凡品,1,0,1,1,1,src/conf/conf_item.erl:3488
3000092,启程披风,150119,105,披风,1,白（灰）/凡品,1,0,1,1,2,src/conf/conf_item.erl:3505
3000093,启程披风,150119,105,披风,1,白（灰）/凡品,1,0,1,1,3,src/conf/conf_item.erl:3522
3000094,启程披风,150119,105,披风,1,白（灰）/凡品,1,0,1,1,4,src/conf/conf_item.erl:3539
3000095,启程披风,150119,105,披风,1,白（灰）/凡品,1,0,1,1,5,src/conf/conf_item.erl:3556
3000096,启程披风,150119,105,披风,1,白（灰）/凡品,1,0,1,1,6,src/conf/conf_item.erl:3573
3000097,启程披风,150119,105,披风,1,白（灰）/凡品,1,0,1,1,7,src/conf/conf_item.erl:3590
3000098,启程披风,150119,105,披风,1,白（灰）/凡品,1,0,1,1,8,src/conf/conf_item.erl:3607
3000099,启程披风,150119,105,披风,1,白（灰）/凡品,1,0,1,1,9,src/conf/conf_item.erl:3624
3000100,启程披风,150119,105,披风,1,白（灰）/凡品,1,0,1,1,10,src/conf/conf_item.erl:3641
3000101,寻路披风,150126,105,披风,1,白（灰）/凡品,1,0,1,1,11,src/conf/conf_item.erl:3658
3000102,寻路披风,150126,105,披风,1,白（灰）/凡品,1,0,1,1,12,src/conf/conf_item.erl:3675
3000103,寻路披风,150126,105,披风,1,白（灰）/凡品,1,0,1,1,13,src/conf/conf_item.erl:3692
3000104,寻路披风,150126,105,披风,1,白（灰）/凡品,1,0,1,1,14,src/conf/conf_item.erl:3709
3000105,寻路披风,150126,105,披风,1,白（灰）/凡品,1,0,1,1,15,src/conf/conf_item.erl:3726
3000106,寻路披风,150126,105,披风,1,白（灰）/凡品,1,0,1,1,16,src/conf/conf_item.erl:3743
3000107,寻路披风,150126,105,披风,1,白（灰）/凡品,1,0,1,1,17,src/conf/conf_item.erl:3760
3000108,寻路披风,150126,105,披风,1,白（灰）/凡品,1,0,1,1,18,src/conf/conf_item.erl:3777
3000109,寻路披风,150126,105,披风,1,白（灰）/凡品,1,0,1,1,19,src/conf/conf_item.erl:3794
3000110,寻路披风,150126,105,披风,1,白（灰）/凡品,1,0,1,1,20,src/conf/conf_item.erl:3811
